name,address
Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3"
Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7"
St. Ann's Academy and Auditorium National Historic Site,"835 Humboldt St, Victoria, BC V8V 4W8"
James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1"
Royal BC Museum,"675 Belleville St., Victoria, BC V8W 9W2"
Dino Lab Inc.,"43 & 45 Erie St Unit #100, Victoria, BC V8V 1P8"
Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5"
YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4"
Greater Victoria Public Library - Central Branch,"735 Broughton St, Victoria, BC V8W 3H2"
The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7"
Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6"
Victoria Bug Zoo,"631 Courtney St, Victoria, BC V8W 1B8"
The Coda,"751 View St, Victoria, BC V8W 1J9"
Cineplex Odeon Victoria Cinemas,"780 Yates St, Victoria, BC V8W 1L4"
Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8"
Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4"
Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2"
Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5"
Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8"
Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5"
BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6"
Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5"
Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6"
Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1"
Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8"
Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5"
Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2"
Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5"
Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5"
Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2"
