name,address
Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1"
For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8"
Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4"
Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8"
Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7"
The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1"
Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1"
Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5"
Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3"
Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7"
Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5"
Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9"
Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1"
Wholesale Club Viewfield Road,"846 Viewfield Rd, Victoria, BC V9A 4V1"
