name,address
Glengarry Hospital,"1780 Fairfield Rd, Victoria, BC V8S 1G7"
Royal Jubilee Hospital,"1952 Bay St, Victoria, BC V8R 1J8"
Mount St. Mary Hospital,"861 Fairfield Rd, Victoria, BC V8V 5A9"
Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7"
Gorge Urgent and Primary Care Centre,"63 Gorge Rd E, Victoria, BC V9A 1L2"
Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3"
Sitka Health Centre,"1284 Fairfield Rd, Victoria, BC V8V 4W3"
Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1"
Oaklands Health Clinic,"325-3066 Shelbourne St, Victoria, BC V8R 6T9"
Yarrow Medical,"645 Fort St #104, Victoria, BC V8W 1G2"
Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9"
