name,address
Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1"
Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3"
Abkhazi Garden,"1964 Fairfield Rd, Victoria, BC V8S 1H2"
Richmond Avenue Grass Triangle,"Victoria, BC V8S 3X9"
Gonzales Observatory,"302 Denison Rd, Victoria, BC V8S 4K3"
Gonzales Park,"1809 Crescent Rd, Victoria, BC V8S 2G6"
Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6"
Brooke Street Park,"1425 Brooke St, Victoria, BC V8S 1M4"
Banfield Park,"521 Craigflower Rd, Victoria, BC V9A 2V8"
Burleith Park,"570 Selkirk Ave, Victoria, BC V9A 2T5"
Moss Rock Park,"Moss Rock Park, May Street & Memorial Crescent, Victoria, BC V8S 3J6"
The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9"
Bushby Park,"160 Bushby St, Victoria, BC V8S 3H8"
Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4"
Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8"
Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8"
Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9"
Holland Point Park,"561 Dallas Rd, Victoria, BC V8V 1B2"
Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8"
MacDonald Park,"212 Niagara St, Victoria, BC V8V 1G3"
Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8"
Irving Park,"250 Menzies St, Victoria, BC V8V 2G7"
Fisherman's Wharf Park,"12 Erie St, Victoria, BC V8V 0B2"
Peter Pollen Waterfront Park,"Inner-Harbour Pathway, Victoria, BC V8V 1Z8"
Centennial Park,"210 Belleville St., Victoria, BC V8V 4T9"
Charles Redfern Park,"200 Quebec St, Victoria, BC V8V 1W2"
Belleville Street Greens,"220 Belleville St., Victoria, BC V8V 4T9"
Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3"
Redfern Park,"Leighton Rd, Victoria, BC V8R 4W7"
The Fort Common,"1017 Blanshard St, Victoria, BC V8W 2H4"
Songhees Hillside Park,"40 Saghalie Rd, Victoria, BC V9A 6Z6"
Lime Bay Park,"Victoria, BC V9A 6T5"
Songhees Park,"Songhees Walkway, Victoria, BC V9A 0G1"
Victoria West Park,"95 Bay St, Victoria, BC V9A 6X9"
Triangle Park,"150 Wilson St, Victoria, BC V9A 6X1"
Saghalie Park,"130 Esquimalt Rd, Victoria, BC V9A 3K9"
Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8"
Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2"
Mary Street Park,"Victoria, BC V9A 3X1"
Rainbow Park,"201 Robert St, Victoria, BC V9A 3X1"
Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6"
Dundas Green,"Victoria, BC V9A 3J9"
Regatta Point Park,"1 Regatta Landing, Victoria, BC V9A 7R3"
