name,address
Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5"
Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4"
Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4"
Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8"
Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2"
Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5"
Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5"
Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6"
Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2"
Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1"
Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1"
Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2"
Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7"
École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2"
Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9"
George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3"
Victor School,"2260 Victor St, Victoria, BC V8R 4C5"
Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5"
Oak Bay High School,"2121 Cadboro Bay Rd, Oak Bay, Greater, Victoria, BC V8R 5G4"
St. Michaels University School - Junior Campus,"820 Victoria Ave, Victoria, BC, BC V8S 4N3"
Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2"
Montery Middle School,"851 Monterey Ave, Victoria, BC V8S 4V1"
Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8"
Tillicum Elementary School,"3155 Albina St, Victoria, BC V9A 1Z6"
Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9"
École Victor-Brodeur,"637 Head St, Victoria, BC V9A 5S9"
École Macaulay Elementary School,"1010 Wychbury Ave, Victoria, BC V9A 5K6"
École Intermédiaire Lansdowne Middle School," 1765 Lansdowne Rd, Victoria, BC V8P 1A7"
St. Michaels University School ,"3400 Richmond Rd, Victoria, BC V8P 4P5"
St. Patrick's Elementary School," 2368 Trent St, Victoria, BC V8R 4Z3  "
James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1"
