name,address
Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5"
Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4"
Christ Church Cathedral School,"1670 Richardson St, Victoria, BC V8S 1R4"
Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8"
Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2"
Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5"
Cherry Blossom Childcare,"140 Oswego St portable, Victoria, BC V8V 2B1"
Infant Plus Day Care,"149 Montreal St, Victoria, BC V8V 1Y9"
Blue Heron Montessori,"205 Simcoe St, Victoria, BC V8V 1K6"
Carousel Child Care Centre Inc,"301 Richmond Ave, Victoria, BC V8S 3Y2"
Little Owl Early Learning,"1648 Richardson St, Victoria, BC V8S 1R4"
Little Wild Early Learning,"230 Menzies St #5, Victoria, BC V8V 2G7"
Little Hands Child Care,"792 Humboldt St, Victoria, BC V8W 4A2"
Tigger's Playcentre,"626 Blanshard St, Victoria, BC V8W 1B1"
École Intermédiaire Lansdowne Middle School,"1765 Lansdowne Rd, Victoria, BC V8P 1A7"
Meadowside (Vic West),"740 Sherk St, Victoria, BC V9A 4A4"
Hereward Green,"912 Hereward Rd, Victoria, BC V9A 4C8"
Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5"
Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6"
Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7"
Shalom Daycare,"1461 Blanshard St, Victoria, BC V8W 2J3"
Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2"
Shalom Daycare,"1537 Hillside Ave, Victoria, BC V8T 4Y2"
Oaklands Park,"Victoria, BC V8R 4G8"
Parkdale Early Childhood Centre,"1095 Tolmie Ave, Victoria, BC V8X 2H4"
Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1"
Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1"
Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2"
Ocean Rain International Daycare Center - Hillside,"1038 Hillside Ave, Victoria, BC V8T 2A5"
Christ Church Cathedral School,"912 Vancouver St, Victoria, BC V8V 3V7"
Compass Childcare,"2570 Fifth St, Victoria, BC V8T 0E2"
École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2"
Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9"
George Jay community StrongStart Centre,"1118 Princess Ave, Victoria, BC V8T 1L2"
George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3"
Victor School,"2260 Victor St, Victoria, BC V8R 4C5"
Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5"
Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2"
St. Patrick's Elementary School,"2368 Trent St, Victoria, BC V8R 4Z3"
Big Tree Nature School,"1829 Newton St, Victoria, BC V8R 2R3"
St. Michaels University School,St. Michaels University School
