name,address
Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1"
Cook Street Shopping Hub,"325 Cook St, Victoria, BC V8V 3X5"
James Bay Square,"425 Simcoe St, Victoria, BC V8V 4T3"
Menzies Street Commercial hub,"239 Menzies St #101, Victoria, BC V8V 2G6"
Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6"
Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7"
The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9"
Douglas Centre,"2950 Douglas St, Victoria, BC V8T 4N4"
Sandman Hotel Victoria,"2852 Douglas St, Victoria, BC V8T 4M5"
Hoyne Brewing Company,"2740 Bridge St #101, Victoria, BC V8T 5C5"
Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3"
Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4"
