name,address
West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4"
University of Victoria,"3800 Finnerty Rd, Victoria, BC V8P 5C2"
Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7"
Camosun College Lansdowne Campus,"3100 Foul Bay Rd, Victoria, BC V8P 5J2"
Cambria College,"210-702 Fort St, Victoria, BC V8W 3L7"
Bermand College ,"1321 Blanshard Street, 800 Yates St, Victoria, BC V8W 2H6"
Excel Career College,"1207 Douglas St Units 202, 220 & 225, Victoria, BC V8W 2E7"
Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St #101, Victoria, BC V8W 1X3"
Sprott Shaw Victoria College Campus,"103 - 31 Bastion Square, Victoria, BC V8W 1J1"
Collège Éducacentre,"1218 Langley St #1, Victoria, BC V8W 1W2"
Pacific Rim College,"560 Johnson St #229, Victoria, BC V8W 3C6"
Sprott Shaw College,"560 Johnson St #229, Victoria, BC V8W 3C6"
Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5"
Edison College,"3318 Oak St, Victoria, BC V8X 1R1"
