name,address
Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7"
Ross Bay Pebbles Beach,"1528 Hollywood Crescent, Victoria, BC V8S 3M7"
Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8"
Finlayson Point Beach,"13 Dallas Rd, Victoria, BC"
Steve Fonyo Beach,"645 Dallas Rd, Victoria, BC V8V 1B6"
Dallas Road Swim Pavilion Staircase,"Dallas Rd, Victoria, BC V8V 1A7"
Transport Canada - Port of Victoria,"12 Erie St, Victoria, BC V8V 4Z9"
Songhees Beach,"60 Songhees Walkway, Victoria, BC V9A 0A3"
Victoria Harbour Ferry - Dockside Green,"Victoria, BC V9A 3S2"
Songhees Walkway,no specific address but borders the water
Greater Victoria Harbour Authority,"Float D, Victoria, BC"
Victoria Harbour Ferry - Railyards,"Galloping Goose Trail, Victoria, BC V9A 7R2"
Banfield Park Dock,"500 B Selkirk Ave, Victoria, BC V9A 2T1"
Ogden Point Pier,"Montreal St, Victoria, BC V8V 1A1"
MacDonald Park,"Block,, 100 Niagara St, Victoria, BC V8V 1E9"
