name,address,latitude,longitude
Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",48.4288249870097, -123.35276137124764
Victoria Oceanside Health,"3066 Shelbourne St #235, Victoria, BC V8R 6T9",48.444742221951074, -123.33391344497451
WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",48.4462326,-123.335466
James Bay Urgent and Primary Care Centre,"547 Michigan St B, Victoria, BC V8V 1S5",48.4167524,-123.3712593
Gorge Urgent and Primary Care Centre,"63 Gorge Rd E, Victoria, BC V9A 1L2",48.4436451,-123.3880997
Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",48.4389832,-123.3581061
Sitka Health Centre,"1284 Fairfield Rd, Victoria, BC V8V 4W3",48.4181565,-123.3567941
Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",48.4264788,-123.3330384
Oaklands Health Clinic,"325-3066 Shelbourne St, Victoria, BC V8R 6T9",48.44501708813249, -123.33376854497446
Yarrow Medical,"645 Fort St #104, Victoria, BC V8W 1G2",48.424425731813244, -123.36685218915294
Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",48.4252522,-123.3525181
