name,address,latitude,longitude
Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",48.4128555,-123.337763
For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",48.4121629,-123.3725234
Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",48.4152027,-123.3748903
Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",48.4265305,-123.3363536
Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",48.4307876,-123.3239269
The Market Garden,"810 Catherine St, Victoria, BC V9A 3V1",48.4341451,-123.385061
Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",48.4395708,-123.3604715
Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",48.4405049,-123.359493
Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",48.4380205,-123.3580333
Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",48.433933473867555, -123.3351690091149
Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",48.4274875,-123.355612
Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",48.4270146,-123.3353763
Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",48.4305902,-123.3446302
Wholesale Club Viewfield Road,"846 Viewfield Rd, Victoria, BC V9A 4V1",48.43478629897879, -123.3969968815223
