name,address,latitude,longitude
Glengarry Hospital,"1780 Fairfield Rd, Victoria, BC V8S 1G7",48.4157009,-123.3325629
Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",,
Royal Jubilee Hospital,"1952 Bay St, Victoria, BC V8R 1J8",,
Victoria Oceanside Health,"3066 Shelbourne St #235, Victoria, BC V8R 6T9",,
"WELL Health Medical Centres -
 Hillside (Formerly Jack Nathan Hillside Medical)
","1644 Hillside Ave, Victoria, BC V8T 2C5",48.4462326,-123.335466
James Bay Urgent and Primary Care Centre,"547 Michigan St B, Victoria, BC V8V 1S5",48.4167524,-123.3712593
Gorge Urgent and Primary Care Centre,"63 Gorge Rd E, Victoria, BC V9A 1L2",48.4436451,-123.3880997
Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",48.4389832,-123.3581061
Moss Dental Fairfield Victoria,"143 Moss St, Victoria, BC V8V 4M2",48.411238,-123.3495364
Cook Street Village Dental,"355 Cook St, Victoria, BC V8V 3X8",48.4156241,-123.355622
Mount St. Mary Hospital,"861 Fairfield Rd, Victoria, BC V8V 5A9",48.4181565,-123.3567941
Focus On Dental Hygiene,"141 Menzies St, Victoria, BC V8V 2G4",48.4150518,-123.374151
Dr. Amanda Bridge,"205 Cook St, Victoria, BC V8V 3X2",48.4123405,-123.3569148
Sitka Health Centre,"1284 Fairfield Rd, Victoria, BC V8V 4W3",48.4181565,-123.3567941
Capital Park Dental,"525 Superior St #110, Victoria, BC V8V 0E4",,
Tall Tree Health,"555 Superior St, Victoria, BC V8V 0E4",48.4188025,-123.3743713
Avenue Family Dental ,"1831 Oak Bay Ave, Victoria, BC V8R 1C3",48.4262303,-123.328593
Oak Bay Hearing Clinic,"1932 Oak Bay Ave, Victoria, BC V8R 4Z6",48.4266904,-123.3244788
Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",48.4264788,-123.3330384
Oak Bay DENTURE Clinic,"1935 Lee Ave, Victoria, BC V8R 4W9",48.4307933,-123.325089
Royal Jubilee Hospital,"1952 Bay St, Victoria, BC V8R 1J8",,
Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1",48.438224,-123.3333015
Shelbourne Denture Centre Inc,"1702 Ryan St, Victoria, BC V8R 2X7",48.4402205,-123.3332045
Oaklands Health Clinic,"325-3066 Shelbourne St, Victoria, BC V8R 6T9",,
LifeLabs Medical Laboratory Services,"1641 Hillside Ave #220, Victoria, BC V8R 4M8",,
Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",48.4457848,-123.3458332
Yarrow Medical,"645 Fort St #104, Victoria, BC V8W 1G2",,
My Victoria Dentist,"1070 Douglas St, Victoria, BC V8W 2C4",48.4244611,-123.3658299
City Center Dental Clinic,"608 Broughton St #200, Victoria, BC V8W 1C7",48.4242843,-123.367465
Elements Dental,"1025 Johnson St Suite 401, Victoria, BC V8V 0G7",,
Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",48.4422695,-123.3432246
Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",48.4252522,-123.3525181
Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",,
