name,address,latitude,longitude
Pemberton Park,"1855 Richardson St, Victoria, BC V8S 1S1",48.4161756,-123.3382134
Hollywood Park,"1700 Fairfield Rd, Victoria, BC V8S 1G3",48.413912,-123.3333913
Abkhazi Garden,"1964 Fairfield Rd, Victoria, BC V8S 1H2",48.4162034,-123.3265291
Gonzales Observatory,"302 Denison Rd, Victoria, BC V8S 4K3",48.4119238,-123.3225459
Gonzales Park,"1809 Crescent Rd, Victoria, BC V8S 2G6",48.4119943,-123.3296818
Ross Bay Cemetery,"1495 Fairfield Rd, Victoria, BC V8S 3L6",48.413912,-123.3333913
Brooke Street Park,"1425 Brooke St, Victoria, BC V8S 1M4",48.4144713,-123.3408853
Banfield Park,"521 Craigflower Rd, Victoria, BC V9A 2V8",48.4382437,-123.389861
Moss Rock Park,"310 Masters Rd, Victoria, BC V8S 1E1",48.4125381,-123.3457596
The Terrace,"1401 Rockland Ave, Victoria, BC V8S 1V9",48.418414,-123.342361
Bushby Park,"160 Bushby St, Victoria, BC V8S 3H8",48.4095332,-123.3454866
Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",48.4128157,-123.3539111
Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",48.4088388883421, -123.36919366396923
Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",48.41342609837257, -123.36715472829154
Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",48.41909360438126, -123.36537167141503
Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",48.41672954961584, -123.36050078011418
Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",48.412841437353066, -123.36065098381071
Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",48.41277022373304, -123.3573679601586
Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",48.408055660182455, -123.35807606329686
Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",48.4190749,-123.3774602
Holland Point Park,"561 Dallas Rd, Victoria, BC V8V 1B2",48.406729,-123.3527756
Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",48.4133072,-123.3773359
MacDonald Park,"212 Niagara St, Victoria, BC V8V 1G3",48.4178663,-123.3840481
Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8",48.4197891,-123.3667512
Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",48.4167054,-123.3731647
Fisherman's Wharf Park,"12 Erie St, Victoria, BC V8V 0B2",48.4227575,-123.3839085
Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",48.4206741,-123.3692363
Redfern Park,"1755 Redfern St, Victoria, BC V8R 4X3",48.4219391,-123.3241517
Songhees Hillside Park,"40 Saghalie Rd, Victoria, BC V9A 6Z6",48.429072,-123.3811533
Victoria West Park,"95 Bay St, Victoria, BC V9A 6X9",48.4310658,-123.3828295
Triangle Park,"150 Wilson St, Victoria, BC V9A 6X1",48.4326194,-123.3878541
Saghalie Park,"130 Esquimalt Rd, Victoria, BC V9A 3K9",48.4292604,-123.3789893
Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",48.4470678,-123.3427982
Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",48.4396214,-123.3449361
Barnard Park,"300 Barnard Ave, Victoria, BC V9A 3R6",48.4308794,-123.3929982
Centennial Square,"1 Centennial Square, Victoria, BC V8W 1P5",48.4283126,-123.3650195
Balfour Playlot,"74 Chown Pl, Victoria, BC V9A 1H5",48.445331,-123.3865524
Cecelia Ravine Park,"475 Burnside Rd E, Victoria, BC V8T 2X2",48.4476684,-123.3810627
Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",48.4467935,-123.3581526
Sumas Park,"530 Sumas St, Victoria, BC V8T 4S3",48.4425099,-123.37279
Summit Park,"1245 Summit Ave, Victoria, BC V8T 2P9",48.4428274,-123.3685056
Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",48.4443372,-123.3811497
Selkirk Green Park,"350 Waterfront Crescent, Victoria, BC V8T 5K3",48.4400675,-123.3789339
Oaklands Park,"1500 Kings Rd, Victoria, BC V8R 4G8",48.4385429,-123.3475983
David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",48.4326442,-123.3370169
Topaz Park,"841 Finlayson St, Victoria, BC V8T 5K8",48.4458092,-123.3646949
