name,address,latitude,longitude
Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",48.4141181,-123.3365231
Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",48.4209174,-123.3316585
Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",48.4173401,-123.3335146
Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",48.413912,-123.3333913
Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",48.4161188,-123.3484018
Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",48.4135206,-123.3744231
Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",48.4357948,-123.3858107
Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",48.4341611,-123.3883414
Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",48.4407978,-123.3784794
Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",48.4404055,-123.3392954
Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",48.4417347,-123.3497747
Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",48.43905,-123.35034
Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",48.4221877,-123.3577824
École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",48.423919,-123.3446274
Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",48.4424751,-123.3615075
George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",48.43256,-123.3485228
Victor School,"2260 Victor St, Victoria, BC V8R 4C5",48.4390619,-123.337261
Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",48.427875,-123.3282266
Oak Bay High School,"2121 Cadboro Bay Rd, Oak Bay, Greater, Victoria, BC V8R 5G4",48.432503871277625, -123.31841313131828
St. Michaels University School - Junior Campus,"820 Victoria Ave, Victoria, BC, BC V8S 4N3",49.2196728,-123.0654597
Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",48.4296536,-123.3465502
Montery Middle School,"851 Monterey Ave, Victoria, BC V8S 4V1",48.41838102129931, -123.31463873131887
Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",48.448228,-123.3616971
Tillicum Elementary School,"3155 Albina St, Victoria, BC V9A 1Z6",48.45234067128004, -123.39245584481101
Esquimalt High School,"847 Colville Rd, Victoria, BC V9A 4N9",48.4389207,-123.3941194
École Victor-Brodeur,"637 Head St, Victoria, BC V9A 5S9",48.431670803602366, -123.40129558159619
École Macaulay Elementary School,"1010 Wychbury Ave, Victoria, BC V9A 5K6",48.425407828083564, -123.40586224666048
École Intermédiaire Lansdowne Middle School," 1765 Lansdowne Rd, Victoria, BC V8P 1A7",48.4459133,-123.3326459
St. Michaels University School ,"3400 Richmond Rd, Victoria, BC V8P 4P5",48.4383055,-123.3282017
St. Patrick's Elementary School," 2368 Trent St, Victoria, BC V8R 4Z3  ",48.4326131,-123.3238991
James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",48.4169268,-123.3797135
