name,address,latitude,longitude
Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",48.4141181,-123.3365231
Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",48.4209174,-123.3316585
Christ Church Cathedral School,"1670 Richardson St, Victoria, BC V8S 1R4",48.4173401,-123.3335146
Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",48.413912,-123.3333913
Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",48.4161188,-123.3484018
Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",48.4135206,-123.3744231
Cherry Blossom Childcare,"140 Oswego St portable, Victoria, BC V8V 2B1",,
Infant Plus Day Care,"149 Montreal St, Victoria, BC V8V 1Y9",48.4181042,-123.3819386
Blue Heron Montessori,"205 Simcoe St, Victoria, BC V8V 1K6",48.4185709,-123.3814268
Carousel Child Care Centre Inc,"301 Richmond Ave, Victoria, BC V8S 3Y2",48.4209174,-123.3316585
Little Owl Early Learning,"1648 Richardson St, Victoria, BC V8S 1R4",48.4170163,-123.334612
Little Wild Early Learning,"230 Menzies St #5, Victoria, BC V8V 2G7",,
Little Hands Child Care,"792 Humboldt St, Victoria, BC V8W 4A2",48.4225852,-123.3671664
Tigger's Playcentre,"626 Blanshard St, Victoria, BC V8W 1B1",48.4202903,-123.3641261
École Intermédiaire Lansdowne Middle School,"1765 Lansdowne Rd, Victoria, BC V8P 1A7",48.4459133,-123.3326459
Meadowside (Vic West),"740 Sherk St, Victoria, BC V9A 4A4",48.4333107,-123.3904271
Hereward Green,"912 Hereward Rd, Victoria, BC V9A 4C8",48.4353198,-123.3936615
Victoria Montessori Preschool,"323 Skinner St, Victoria, BC V9A 3B5",48.4357948,-123.3858107
Victoria West Elementary School,"750 Front St, Victoria, BC V9A 3C6",48.4341611,-123.3883414
Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",,
Shalom Daycare,"1461 Blanshard St, Victoria, BC V8W 2J3",48.4274,-123.3613658
Selkirk Montessori School,"2970 Jutland Rd, Victoria, BC V8T 5K2",48.4407978,-123.3784794
Shalom Daycare,"1537 Hillside Ave, Victoria, BC V8T 4Y2",48.4435407,-123.3378088
Oaklands Park,"Victoria, BC V8R 4G8",48.4283182,-123.364953
Parkdale Early Childhood Centre,"1095 Tolmie Ave, Victoria, BC V8X 2H4",48.4497024,-123.3551318
Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",48.4404055,-123.3392954
Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",48.4417347,-123.3497747
Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",48.43905,-123.35034
Ocean Rain International Daycare Center - Hillside,"1038 Hillside Ave, Victoria, BC V8T 2A5",48.4399337,-123.3575816
Christ Church Cathedral School,"912 Vancouver St, Victoria, BC V8V 3V7",48.4221877,-123.3577824
Compass Childcare,"2570 Fifth St, Victoria, BC V8T 0E2",48.4370897,-123.3575098
École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",48.423919,-123.3446274
Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",48.4424751,-123.3615075
George Jay community StrongStart Centre,"1118 Princess Ave, Victoria, BC V8T 1L2",48.43256,-123.3485228
George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",48.43256,-123.3485228
Victor School,"2260 Victor St, Victoria, BC V8R 4C5",48.4390619,-123.337261
Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",48.427875,-123.3282266
Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",48.4296536,-123.3465502
St. Patrick's Elementary School,"2368 Trent St, Victoria, BC V8R 4Z3",48.4326131,-123.3238991
Big Tree Nature School,"1829 Newton St, Victoria, BC V8R 2R3",48.4388822,-123.3303336
St. Michaels University School,St. Michaels University School,48.451816,-123.32826
