name,address,latitude,longitude
Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",48.41276,-123.33911
Cook Street Shopping Hub,"325 Cook St, Victoria, BC V8V 3X5",48.4146624,-123.3560927
James Bay Square,"425 Simcoe St, Victoria, BC V8V 4T3",48.4155266,-123.3757636
Menzies Street Commercial hub,"239 Menzies St #101, Victoria, BC V8V 2G6",,
Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",,
Westside Village Shopping Centre,"174 Wilson St, Victoria, BC V9A 7N7",48.4332175,-123.3806049
The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9",48.4255046,-123.3666524
Douglas Centre,"2950 Douglas St, Victoria, BC V8T 4N4",48.4433411,-123.370379
Sandman Hotel Victoria,"2852 Douglas St, Victoria, BC V8T 4M5",48.43938,-123.3682872
Hoyne Brewing Company,"2740 Bridge St #101, Victoria, BC V8T 5C5",48.4371039,-123.373611
Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",48.447334,-123.3693463
Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",48.43633,-123.36345
