name,address,latitude,longitude
West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",48.42363421096895, -123.36147073131869
University of Victoria,"3800 Finnerty Rd, Victoria, BC V8P 5C2",48.4660721,-123.3074367
Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",48.42674403245943, -123.36320308898944
Camosun College Lansdowne Campus,"3100 Foul Bay Rd, Victoria, BC V8P 5J2",48.4139956,-123.3277929
Cambria College,"210-702 Fort St, Victoria, BC V8W 3L7",48.42481149256322, -123.3649706313186
Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",48.426422446647116, -123.361415599675
Excel Career College,"1207 Douglas St, Victoria, BC V8W 2E7",48.42565945300864, -123.36473546346984
Inlingua Victoria College of Languages Careers Co-Ops and IELTS/CELPIP TEST Centre,"910 Government St, Victoria, BC V8W 1X3",48.4239214982084, -123.36888015234318
Sprott Shaw Victoria College Campus,"103 - 31 Bastion Square, Victoria, BC V8W 1J1",48.4257282,-123.3683829
Collège Éducacentre,"1218 Langley St, Victoria, BC V8W 1W2",48.426247640193225, -123.368570219943
Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",48.4278379520211, -123.36885021597661
Sprott Shaw College,"31 Bastion Square, Victoria, BC V8W 1J1",48.425678786701575, -123.36919824966026
Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",48.427956687301965, -123.3189481350149
Edison College,"3318 Oak St, Victoria, BC V8X 1R1",48.45109442329065, -123.37221820248185
