name,address,latitude,longitude
Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",48.4119943,-123.3296818
Ross Bay Pebbles Beach,"1528 Hollywood Crescent, Victoria, BC V8S 3M7",48.408903,-123.3342722
Spiral Beach,"1119 Dallas Rd, Victoria, BC V8V 1B8",48.406729,-123.3527756
Finlayson Point Beach,"13 Dallas Rd, Victoria, BC",48.4101416,-123.3368389
Steve Fonyo Beach,"645 Dallas Rd, Victoria, BC V8V 1B6",48.406729,-123.3527756
Dallas Road Swim Pavilion Staircase,"Dallas Rd, Victoria, BC V8V 1A7",48.406729,-123.3527756
Transport Canada - Port of Victoria,"12 Erie St, Victoria, BC V8V 4Z9",48.4227575,-123.3839085
Songhees Beach,"60 Songhees Walkway, Victoria, BC V9A 0A3",,
Victoria Harbour Ferry - Dockside Green,"Victoria, BC V9A 3S2",48.4283182,-123.364953
Songhees Walkway,no specific address but borders the water,,
Greater Victoria Harbour Authority,"Float D, Victoria, BC",,
Victoria Harbour Ferry - Railyards,"Galloping Goose Trail, Victoria, BC V9A 7R2",48.4327217,-123.3782216
Banfield Park Dock,"500 B Selkirk Ave, Victoria, BC V9A 2T1",48.4410047,-123.3921842
Ogden Point Pier,"Montreal St, Victoria, BC V8V 1A1",48.4166511,-123.3839162
MacDonald Park,"Block,, 100 Niagara St, Victoria, BC V8V 1E9",,
