DAUID,address,latitude,longitude
59170137,"2636 Roseberry Ave, Victoria, BC V8R 3T7",48.437185,-123.343915
59170136,"2640 Cedar Hill Rd, Victoria, BC V8T 3H2",48.437369,-123.3468653
59170157,"2576 Empire St, Victoria, BC V8T 3M6",48.4367167,-123.3507925
59170157,"2526 Wesley Pl, Victoria, BC V8T 1V2",48.4354002,-123.3495759
59170155,"2631 Blackwood St, Victoria, BC V8T 3W3",48.4391173,-123.3531569
59170154,"2840 Prior St, Victoria, BC V8T 3Y3",48.4425282,-123.3563115
59170174,"1337 Grant St, Victoria, BC V8R 1M2",48.4283069,-123.3437491
59170138,"2634 Belmont Ave, Victoria, BC V8R 4A6",48.43714,-123.3400515
59170135,"2737 Avebury Ave, Victoria, BC V8R 3W5",48.4352645,-123.3422997
59170136,"2536 Garden St, Victoria, BC V8T 3G5",48.43555799364544, -123.34661040450608
59170138,"2544 Forbes St, Victoria, BC V8R 4B8",48.435163,-123.3389431
59170372,"723 Belton Ave, Victoria, BC V9A 2Z7",48.437121,-123.3926778
59170372,"637 Pine St, Victoria, BC V9A 2Z9",48.4369594087928, -123.39028818396703
59170371,"949 Hereward Rd, Victoria, BC V9A 4E1",48.4354876,-123.3934752
59170373,"639 Langford St, Victoria, BC V9A 3C8",48.4352153,-123.3904589
59170371,"831 Walker St, Victoria, BC V9A 4C3",48.4335571,-123.3924576
59170376,"442 William St, Victoria, BC V9A 3Y9",48.4314631,-123.3892156
59170373,"824 Russell St, Victoria, BC V9A 3X7",48.4345049,-123.3873888
59170375,"822 Catherine St, Victoria, BC V9A 3C2",48.4344287,-123.3851061
59170820,"231 Russell St, Victoria, BC V9A 3X1",48.4345477,-123.3872122
59170389,"2967 Irma St, Victoria, BC V9A 1S5",48.4445492,-123.3874302
59170389,"3064 Irma St, Victoria, BC V9A 1S6",48.4462737,-123.3863857
59170388,"3165 Balfour Ave, Victoria, BC V9A 1R9",48.4473174,-123.3827416
59170388,"3052 Albany St, Victoria, BC V9A 1R5",48.4448357,-123.3843957
59170387,"3134 Washington Ave, Victoria, BC V9A 1P7",48.4443372,-123.3811497
59170298,"425 Quebec St, Victoria, BC V8V 1W7",48.4199943,-123.3731607
59170312,"22 Simcoe St, Victoria, BC V8V 1K2",48.420715,-123.3845741
59170312,"111 Niagara St, Victoria, BC V8V 1G1",48.4178583,-123.3843832
59170313,"130 Ladysmith St, Victoria, BC V8V 1J4",48.4188487,-123.3829713
59170310,"121 Michigan St, Victoria, BC V8V 1R2",48.4205832,-123.3812564
59170309,"242 Ontario St, Victoria, BC V8V 1N2",48.419125,-123.3790883
59170311,"506 Pendray St, Victoria, BC V8V 0A9",48.4213819,-123.3767971
59170297,"427 Government St, Victoria, BC V8V 2L4",48.4164759,-123.3685713
59170272,"142 Beechwood Ave, Victoria, BC V8S 3W5",48.4100288,-123.3331442
59170203,"237 Wildwood Ave, Victoria, BC V8S 3W2",48.4119933,-123.3335427
59170204,"326 Irving Rd, Victoria, BC V8S 4A2",48.4142753,-123.3293424
59170203,"1737 Fairfield Rd, Victoria, BC V8S 1G6",48.4142415,-123.3326371
59170273,"339 Stannard Ave, Victoria, BC V8S 3M3",48.4133996,-123.3395939
59170275,"441 Stannard Ave, Victoria, BC V8S 3M6",48.4156115,-123.3393183
59170273,"1450 Hamley St, Victoria, BC V8S 1N1",48.4158299,-123.3431936
59170274,"1423 Fairfield Rd, Victoria, BC V8S 1E6",48.4127701,-123.3444294
59170274,"1331 Vimy Pl, Victoria, BC V8S 1C5",48.4126918,-123.3476843
59170291,"1236 Chapman St, Victoria, BC V8V 2T8",48.4128277,-123.3513897
59170291,"135 Howe St, Victoria, BC V8V 4K5",48.4106233,-123.3507849
59170293,"41 Wellington Ave, Victoria, BC V8V 4H5",48.4082482,-123.3525989
59170292,"45 Cambridge St, Victoria, BC V8V 4A7",48.4088397,-123.3548597
59170292,"127 Cambridge St, Victoria, BC V8V 4B1",48.4108792,-123.3544588
59170290,"1147 Oxford St, Victoria, BC V8V 2V2",48.4136114,-123.3548689
59170288,"354 Chester Ave, Victoria, BC V8V 4B6",48.4152587,-123.3541767
59170287,"419 Chester Ave, Victoria, BC V8V 4B9",48.4162547,-123.3540793
59170288,"1255 Oscar St, Victoria, BC V8V 2X6",48.4149692,-123.3500767
59170276,"614 Cornwall St, Victoria, BC V8V 4L1",48.4174763,-123.3495862
59170274,"1322 D Thurlow Rd, Victoria, BC V8S 1L6",48.414707,-123.3450452
59170294,"1321 George St, Victoria, BC V8S 1A8",48.4077996,-123.3496169
59170294,"188 Bushby St, Victoria, BC V8S 1B6",48.4101442,-123.345113
59170202,"1708 Chandler Ave, Victoria, BC V8S 1N6",48.4160492,-123.3337874
59170200,"34 Armine Pl, Victoria, BC V8S 1S7",48.4176434,-123.3291905
59170204,"443 Chadwick Pl, Victoria, BC V8S 1H4",48.4165496,-123.3255104
59170200,"801 Bank St, Victoria, BC V8S 4A8",48.4206794,-123.3295734
59170197,"941 Lawndale Ave, Victoria, BC V8S 4C9",48.4224515,-123.3258554
59170201,"1730 Algoa Pl, Victoria, BC V8S 5J6",48.4215262,-123.3328994
59170201,"1530 Despard Ave, Victoria, BC V8S 1T3",48.4192344,-123.3365037
59170275,"524C St Charles St, Victoria, BC V8S 3N7",48.4222599,-123.3389429
59170275,"711 Robleda Crescent, Victoria, BC V8S 3K6",48.418955,-123.3452533
59170275,"1329 Minto St, Victoria, BC V8S 1P3",48.4175136,-123.3467604
59170275,"1315 Richardson St, Victoria, BC V8S 1P6",48.4182884,-123.3471638
59170289,"535 Su'it St, Victoria, BC V8V 4C3",48.4182809,-123.3528049
59170198,"1041 Chamberlain St, Victoria, BC V8S 4C1",48.4254064,-123.3265902
59170199,"1750 Rockland Ave, Victoria, BC V8S 1W9",48.4243526,-123.3328402
59170558,"1550 Shasta Pl, Victoria, BC V8S 1X9",48.4219569,-123.3366782
59170557,"1475 Fort St, Victoria, BC V8S 1Z4",48.424562,-123.3401844
59170557,"905 Pemberton Rd, Victoria, BC V8S 3R5",48.4229033,-123.3402194
59170556,"744 Pemberton Rd, Victoria, BC V8S 3R4",48.420881,-123.3405044
59170277,"1314 Manor Rd, Victoria, BC V8S 2A2",48.420898,-123.3438902
59170277,"1310 Rockland Ave, Victoria, BC V8S 1V5",48.4209571,-123.3467722
59170276,"801 Langham Ct, Victoria, BC V8V 4J3",48.4197784,-123.3493727
59170278,"1012 Pentrelew Pl, Victoria, BC V8V 4J4",48.422029,-123.3486869
59170556,"1002 Carberry Gardens, Victoria, BC V8S 3R7",48.4231075,-123.3426468
59170171,"1404 Harrison St, Victoria, BC V8S 3S2",48.4257108,-123.3442085
59170172,"1436 Elford St, Victoria, BC V8S 3S8",48.4259578,-123.3416142
59170612,"1528 Coldharbour Rd, Victoria, BC V8R 1H5",48.4276031,-123.337211
59170177,"1530 Belcher Ave, Victoria, BC V8R 4N1",48.4273636,-123.3333644
59170178,"1550 Richmond Ave, Victoria, BC V8R 4P6",48.4275259,-123.3306464
59170180,"1607 Fell St, Victoria, BC V8R 4V9",48.4275747,-123.327118
59170181,"1605 Redfern St, Victoria, BC V8R 4X3",48.4273587,-123.3245928
59170181,"1732 Amphion St, Victoria, BC V8R 4Z7",48.4292898,-123.3241064
