DAUID,doctors_count,downtown_count,entertainment_count,golf_count,grocery_count,hospital_count,hospitals_count,parks_count,school_count,shopping_count,university_count,waterfront_count,Residential_TotalGross_Average
59170126,0,0,0,0,0,0,0,5,1,0,0,0,1020641
59170127,0,0,0,0,0,0,0,5,2,0,0,0,1120755
59170128,0,0,0,0,0,1,0,1,1,0,0,0,1134602
59170129,0,0,0,0,0,0,0,1,0,0,0,0,1023107
59170130,0,0,0,1,0,1,1,1,0,0,0,0,1315858
59170131,0,0,0,1,0,1,3,1,0,0,0,0,985706
59170132,0,0,0,0,0,1,2,3,1,0,0,0,874713
59170133,2,0,1,0,0,1,3,5,3,0,0,0,1087757
59170134,0,0,0,0,0,1,1,4,2,0,0,0,952586
59170135,0,0,0,0,0,1,1,6,2,0,0,0,1095008
59170136,0,0,0,0,0,1,0,5,2,0,0,0,1048311
59170137,0,0,0,0,0,1,0,4,1,0,0,0,1051014
59170138,0,0,0,0,1,1,0,3,2,0,0,0,1061502
59170139,0,0,0,0,2,1,0,2,1,0,0,0,1013725
59170140,0,0,0,0,2,1,0,4,2,0,0,0,1056933
59170141,0,0,0,0,1,0,0,5,2,0,0,0,1269532
59170142,0,0,0,0,1,0,0,6,2,0,0,0,1050680
59170143,1,1,4,0,1,0,0,7,2,0,1,0,1163091
59170144,1,1,5,0,1,0,0,7,1,0,0,0,901691
59170145,0,0,1,0,1,0,0,4,0,0,0,0,1070096
59170146,1,0,3,0,2,0,1,2,1,0,0,0,992863
59170147,1,0,3,0,2,0,0,2,0,1,0,0,1114659
59170148,1,0,4,0,3,0,1,3,0,1,0,0,751104
59170149,1,0,5,0,3,0,1,3,0,1,0,0,8913936
59170150,0,1,3,0,0,0,0,0,0,1,0,0,762385
59170151,1,0,2,0,3,0,1,2,1,0,0,0,729644
59170152,1,0,1,0,3,0,1,5,2,0,0,0,775374
59170153,1,0,2,0,3,0,1,2,1,0,0,0,878368
59170154,1,0,0,0,2,1,1,3,2,0,0,0,1113701
59170155,1,0,0,0,2,1,1,4,2,0,0,0,938330
59170156,0,0,0,0,0,1,1,1,2,0,0,0,948668
59170157,0,0,0,0,0,1,0,5,2,0,0,0,955186
59170161,1,0,2,0,3,0,0,2,1,1,0,0,664723
59170162,2,1,7,0,1,0,0,7,0,0,0,0,740379
59170163,1,1,9,0,1,1,1,2,1,0,3,0,784258
59170164,2,1,6,0,1,1,1,2,1,0,1,0,572359
59170165,1,1,3,0,1,1,1,1,0,0,0,0,1139310
59170166,2,1,2,0,1,1,0,2,1,0,0,0,836456
59170167,2,1,1,0,1,0,1,5,1,0,0,0,1482694
59170168,2,1,1,0,1,0,1,2,2,0,0,0,1337071
59170169,2,1,0,0,1,0,1,5,3,0,0,0,1571427
59170170,2,1,12,0,1,1,1,3,3,0,3,0,775090
59170171,0,0,2,0,0,0,0,2,2,0,0,0,1738272
59170172,0,0,1,0,2,0,0,1,1,0,0,0,975298
59170174,0,0,0,0,3,0,0,3,2,0,0,0,1179242
59170175,0,0,0,0,4,1,0,4,0,0,0,0,1259333
59170177,1,0,0,0,2,1,2,3,1,0,0,0,802456
59170178,1,0,0,0,2,1,3,1,1,0,0,0,1077058
59170179,1,0,0,0,2,1,2,2,1,0,0,0,912374
59170180,0,0,0,0,1,1,4,0,2,0,0,0,1444451
59170181,0,0,1,0,1,1,3,0,2,0,1,0,1034612
59170197,0,0,0,0,0,1,2,1,1,0,0,0,1344632
59170198,1,0,0,0,0,1,3,1,1,0,0,0,1186784
59170199,1,0,0,0,2,1,2,1,1,0,0,0,1330660
59170200,0,0,0,0,0,1,1,2,2,0,0,0,1457357
59170201,0,0,0,0,0,1,1,3,2,0,0,0,1862585
59170202,0,0,0,0,1,1,1,3,3,0,0,0,1550804
59170203,0,0,0,0,1,1,1,4,3,1,1,1,1300673
59170204,0,0,0,0,0,1,1,4,1,0,1,1,1727751
59170224,0,0,0,0,0,1,2,0,2,0,0,0,732699
59170225,2,0,1,0,0,1,2,0,3,0,0,0,1138123
59170226,0,0,1,0,1,1,2,0,2,0,0,0,1003121
