DAUID,Target_name,Target_address,Distance (km)
59170126,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.34
59170126,Quadra Heights Playground,"825 Villance St, Victoria, BC V8X 2P5",0.15
59170127,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.26
59170127,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.33
59170127,Quadra Heights Playground,"825 Villance St, Victoria, BC V8X 2P5",0.35
59170127,Jackalope Meadow,"1245 Summit Ave, Victoria, BC V8T 2P9",0.45
59170127,Summit Park,"1245 Summit Ave, Victoria, BC V8T 2P9",0.45
59170128,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.07
59170128,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.46
59170128,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.16
59170129,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.3
59170129,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.38
59170130,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.18
59170130,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.34
59170131,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.15
59170131,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.47
59170132,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.43
59170132,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.43
59170132,Oaklands (Holly) Green,"1515 Holly St, Victoria, BC V8R 2Y5",0.5
59170133,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.24
59170133,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.33
59170133,Oaklands (Holly) Green,"1515 Holly St, Victoria, BC V8R 2Y5",0.33
59170133,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.38
59170134,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.16
59170134,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.24
59170134,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.5
59170135,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.09
59170135,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.14
59170135,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.45
