DAUID,Target_name,Target_address,Distance (km)
59170126,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",1.04
59170127,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.77
59170128,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.95
59170129,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",1.12
59170130,WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.9
59170131,WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.57
59170132,WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.83
59170133,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.89
59170133,WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.44
59170133,Victoria Oceanside Health,"3066 Shelbourne St #235, Victoria, BC V8R 6T9",0.49
59170133,Oaklands Health Clinic,"325-3066 Shelbourne St, Victoria, BC V8R 6T9",0.5
59170134,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.74
59170135,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.85
59170135,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",1.05
59170136,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.88
59170136,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.85
59170137,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",1.03
59170137,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",1.07
59170138,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",1.06
59170138,Victoria Oceanside Health,"3066 Shelbourne St #235, Victoria, BC V8R 6T9",0.96
59170139,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.92
59170140,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.68
