DAUID,Target_name,Target_address,Distance (km)
59170126,downtown,NA,1.88
59170127,downtown,NA,1.6
59170128,downtown,NA,1.85
59170129,downtown,NA,2.04
59170130,downtown,NA,2.09
59170131,downtown,NA,2.15
59170132,downtown,NA,1.81
59170133,downtown,NA,1.84
59170134,downtown,NA,1.41
59170135,downtown,NA,1.29
59170136,downtown,NA,1.14
59170137,downtown,NA,1.24
59170138,downtown,NA,1.42
59170139,downtown,NA,1.09
59170140,downtown,NA,1.16
59170141,downtown,NA,0.84
59170142,downtown,NA,0.72
59170143,downtown,NA,0.37
59170144,downtown,NA,0.47
59170145,downtown,NA,0.63
59170146,downtown,NA,0.76
59170147,downtown,NA,0.59
59170148,downtown,NA,0.5
59170149,downtown,NA,0.58
59170150,downtown,NA,0.43
59170151,downtown,NA,1.04
59170152,downtown,NA,1.31
59170153,downtown,NA,0.96
59170154,downtown,NA,1.34
59170155,downtown,NA,1.1
59170156,downtown,NA,1.52
59170157,downtown,NA,0.99
59170161,downtown,NA,0.89
59170162,downtown,NA,0.4
59170163,downtown,NA,0.37
59170164,downtown,NA,0.35
59170165,downtown,NA,0.29
59170166,downtown,NA,0.31
59170167,downtown,NA,0.16
59170168,downtown,NA,0.29
59170169,downtown,NA,0.45
59170170,downtown,NA,0.33
59170171,downtown,NA,0.69
59170172,downtown,NA,0.87
59170174,downtown,NA,0.82
59170175,downtown,NA,1.14
59170177,downtown,NA,1.47
59170178,downtown,NA,1.67
59170179,downtown,NA,1.56
59170180,downtown,NA,1.94
59170181,downtown,NA,2.13
59170197,downtown,NA,2.09
59170198,downtown,NA,1.98
59170199,downtown,NA,1.54
59170200,downtown,NA,1.89
59170201,downtown,NA,1.48
59170202,downtown,NA,1.69
59170203,downtown,NA,1.91
59170204,downtown,NA,2.15
59170224,downtown,NA,2.01
59170225,downtown,NA,2.14
59170226,downtown,NA,1.75
59170227,downtown,NA,2.07
59170228,downtown,NA,1.79
59170229,downtown,NA,2.45
59170272,downtown,NA,2.11
59170273,downtown,NA,1.32
59170274,downtown,NA,1.23
59170275,downtown,NA,0.97
59170276,downtown,NA,0.59
59170277,downtown,NA,0.69
59170278,downtown,NA,0.42
59170279,downtown,NA,0.13
59170280,downtown,NA,0.36
59170281,downtown,NA,0.27
59170282,downtown,NA,0.36
59170285,downtown,NA,0.45
59170286,downtown,NA,0.38
59170287,downtown,NA,0.63
59170288,downtown,NA,0.8
59170289,downtown,NA,0.53
59170290,downtown,NA,0.61
59170291,downtown,NA,1.06
59170292,downtown,NA,1.01
59170293,downtown,NA,1.19
59170294,downtown,NA,1.48
59170295,downtown,NA,0.48
59170296,downtown,NA,0.5
59170297,downtown,NA,0.42
59170298,downtown,NA,0.38
59170299,downtown,NA,0.4
59170300,downtown,NA,0.75
59170301,downtown,NA,0.96
59170302,downtown,NA,0.5
59170303,downtown,NA,1.02
59170304,downtown,NA,0.81
59170305,downtown,NA,0.84
59170308,downtown,NA,0.5
59170309,downtown,NA,0.77
59170310,downtown,NA,0.91
59170311,downtown,NA,0.59
59170312,downtown,NA,1.17
59170313,downtown,NA,1.09
59170371,downtown,NA,1.65
59170372,downtown,NA,1.62
59170373,downtown,NA,1.37
59170375,downtown,NA,1.08
59170376,downtown,NA,1.32
59170378,downtown,NA,1.45
59170383,downtown,NA,0.87
59170384,downtown,NA,1.18
59170385,downtown,NA,1.48
59170386,downtown,NA,1.51
59170387,downtown,NA,1.64
59170388,downtown,NA,1.9
59170389,downtown,NA,1.95
59170390,downtown,NA,1.88
59170554,downtown,NA,1.03
59170555,downtown,NA,0.86
59170556,downtown,NA,0.94
59170557,downtown,NA,1.02
59170558,downtown,NA,1.3
59170598,downtown,NA,1.84
59170600,downtown,NA,1.71
59170601,downtown,NA,1.44
59170610,downtown,NA,0.67
59170611,downtown,NA,0.33
59170612,downtown,NA,1.18
59170722,downtown,NA,1.23
59170723,downtown,NA,0.92
59170805,downtown,NA,0.26
59170806,downtown,NA,0.24
59170807,downtown,NA,0.31
59170808,downtown,NA,0.38
59170809,downtown,NA,0.37
59170810,downtown,NA,0.2
59170811,downtown,NA,0.36
59170814,downtown,NA,0.37
59170815,downtown,NA,0.3
59170816,downtown,NA,1.52
59170817,downtown,NA,0.9
59170819,downtown,NA,0.66
59170820,downtown,NA,1.29
