DAUID,Target_name,Target_address,Distance (km)
59170126,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",1.12
59170126,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",1.13
59170127,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.87
59170128,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",1.06
59170128,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",1.09
59170129,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",1.32
59170130,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.97
59170131,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.66
59170132,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.6
59170133,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.48
59170134,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.72
59170135,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.66
59170136,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.82
59170136,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.73
59170137,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.64
59170138,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.55
59170139,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.94
59170140,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.99
59170140,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.89
59170141,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.75
59170142,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.56
59170143,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.56
59170143,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.76
59170143,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.24
59170143,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.25
59170143,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.29
59170143,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.46
59170144,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.29
59170144,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.43
59170144,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.35
59170144,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.46
59170144,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.48
59170145,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.2
59170146,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.36
59170146,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.37
59170146,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.39
59170147,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.24
59170147,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.3
59170147,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.32
59170147,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.5
59170148,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.17
59170148,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.34
59170148,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.24
59170148,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.4
59170149,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.27
59170149,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.3
59170149,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.26
59170149,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.27
59170149,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.48
59170150,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.33
59170150,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.41
59170150,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.42
59170150,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.5
59170151,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.3
59170151,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.38
59170152,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.58
59170152,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.46
59170153,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.33
59170153,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.39
59170154,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.62
59170155,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.57
59170156,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.77
59170156,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.89
59170157,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.6
59170161,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.18
59170161,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.25
59170162,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.3
59170162,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.4
59170162,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.43
59170162,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.29
59170162,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.37
59170162,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.46
59170162,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.49
59170163,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.11
59170163,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.27
59170163,Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.28
59170163,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.32
59170163,Cineplex Odeon Victoria Cinemas,"780 Yates St, Victoria, BC V8W 1L4",0.35
59170163,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.37
59170163,The Coda,"751 View St, Victoria, BC V8W 1J9",0.38
59170163,Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.44
59170163,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.44
59170163,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.5
59170164,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.28
59170164,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.36
59170164,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.41
59170164,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.43
59170164,Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.48
59170164,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.49
59170165,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.1
59170165,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.39
59170165,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.48
59170166,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.28
59170166,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.5
59170166,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.43
59170167,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.49
59170168,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.36
59170168,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.5
59170169,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.6
59170169,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.61
59170170,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.29
59170170,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.43
59170170,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.02
59170170,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.19
59170170,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.25
59170170,Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.27
59170170,Cineplex Odeon Victoria Cinemas,"780 Yates St, Victoria, BC V8W 1L4",0.31
59170170,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.36
59170170,The Coda,"751 View St, Victoria, BC V8W 1J9",0.37
59170170,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.41
59170170,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.42
59170170,Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.47
59170171,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.4
59170171,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.47
59170172,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.42
59170174,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.71
59170175,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.95
59170175,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",1.02
59170177,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.9
59170178,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.8
59170179,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.85
59170180,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.52
59170181,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.38
59170197,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",1.0
59170198,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.73
59170199,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.77
59170200,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",1.06
59170201,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.66
59170202,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.96
59170203,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",1.25
59170204,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",1.38
59170224,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.67
59170225,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.34
59170226,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.46
59170227,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.27
59170228,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.2
59170229,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.69
59170272,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",1.54
59170273,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.66
59170273,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",1.02
59170274,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.79
59170274,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.72
59170275,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.32
59170275,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.4
59170275,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.49
59170276,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.18
59170276,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.29
59170276,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.43
59170277,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.21
59170277,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.3
59170277,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.25
59170277,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.44
