DAUID,Target_name,Target_address,Distance (km)
59170126,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.23
59170127,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.23
59170128,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.66
59170129,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.59
59170130,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.2
59170131,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.36
59170132,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.58
59170133,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.72
59170134,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.98
59170135,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.29
59170136,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.35
59170137,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.4
59170138,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.46
59170139,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.8
59170140,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.01
59170141,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.67
59170142,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.73
59170143,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.13
59170144,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.01
59170145,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.73
