DAUID,Target_name,Target_address,Distance (km)
59170126,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.85
59170127,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.58
59170128,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.83
59170129,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.0
59170130,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.17
59170131,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.34
59170132,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.06
59170133,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.92
59170133,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",1.19
59170134,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.76
59170135,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.85
59170135,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.55
59170136,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.67
59170137,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.53
59170137,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.74
59170138,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.41
59170139,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.35
59170139,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.45
59170140,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.17
59170140,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.09
59170141,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.39
59170142,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.47
59170143,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.58
59170143,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.37
59170144,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.27
59170144,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.63
59170145,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.48
59170146,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.23
59170146,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.48
59170147,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.27
59170147,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.49
59170148,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.35
59170148,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.41
59170148,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.49
59170149,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.38
59170149,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.12
59170149,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.24
59170150,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.57
59170151,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.02
59170151,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.11
59170151,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.28
59170152,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.3
59170152,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.23
59170152,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.27
59170153,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.15
59170153,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.27
59170153,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.29
59170154,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.33
59170154,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.45
59170155,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.38
59170155,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.49
59170156,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.66
59170157,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.65
59170157,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.55
59170161,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.12
59170161,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.13
59170161,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.19
59170162,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.3
59170163,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.25
59170164,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.22
59170165,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.47
59170166,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.38
59170167,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.31
59170168,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.41
59170169,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.37
59170170,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.41
59170171,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.54
59170172,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.39
59170172,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.48
59170174,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.3
59170174,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.41
59170174,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.44
59170175,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.38
59170175,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.35
59170175,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.39
59170175,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.41
59170177,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.15
59170177,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.24
59170178,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.35
59170178,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.44
59170179,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.36
59170179,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.44
59170180,Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",0.34
59170181,Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",0.28
59170197,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.87
59170198,Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",0.63
59170199,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.35
59170199,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.35
59170200,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.83
59170200,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.82
59170201,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.72
59170201,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.61
59170202,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.46
59170203,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.37
59170204,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.81
59170224,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.51
59170225,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.87
59170226,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.4
59170227,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",1.05
59170228,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.93
59170229,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",1.49
59170272,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.46
59170273,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.34
59170274,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.6
59170275,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.74
59170275,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.51
59170276,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.01
59170276,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.97
59170277,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.98
59170277,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.84
59170278,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.79
59170279,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.62
59170280,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.81
59170281,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.6
59170282,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.93
59170285,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.97
59170286,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.17
59170286,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",1.17
59170287,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",1.25
59170288,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.09
59170289,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",1.04
59170290,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.08
59170290,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.27
59170291,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.0
59170292,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.23
59170292,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.29
59170293,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.28
59170293,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",1.21
59170294,Thrifty Foods,"1590 Fairfield Rd, Victoria, BC V8S 1G1",0.83
59170295,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",1.02
59170296,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.42
59170296,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.49
59170297,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.49
59170298,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.51
59170299,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.46
59170299,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.32
59170300,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.15
59170300,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.27
59170301,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.17
59170301,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.3
59170302,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.52
59170302,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.22
59170303,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.28
59170303,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.46
59170304,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.05
59170304,For Good Measure Grocery & Coffee Shop,"579 Niagara St, Victoria, BC V8V 1H8",0.37
59170305,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.24
59170308,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.37
59170309,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.53
59170310,Thrifty Foods,"475 Simcoe St, Victoria, BC V8V 4T4",0.76
