DAUID,Target_name,Target_address,Distance (km)
59170126,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",1.04
59170127,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.77
59170128,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.62
59170129,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.66
59170130,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.22
59170131,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.2
59170131,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.42
59170131,"WELL Health Medical Centres -
 Hillside (Formerly Jack Nathan Hillside Medical)
","1644 Hillside Ave, Victoria, BC V8T 2C5",0.49
59170132,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.24
59170132,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.27
59170133,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.28
59170133,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.47
59170133,"WELL Health Medical Centres -
 Hillside (Formerly Jack Nathan Hillside Medical)
","1644 Hillside Ave, Victoria, BC V8T 2C5",0.44
59170134,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.45
59170135,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.44
59170135,Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1",0.74
59170136,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.7
59170137,Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1",0.77
59170137,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.57
59170138,Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1",0.53
59170139,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.89
59170139,Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1",0.77
59170140,Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1",0.63
