DAUID,Target_name,Target_address,Distance (km)
59170126,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.34
59170126,Quadra Heights Playground,"825 Villance St, Victoria, BC V8X 2P5",0.15
59170126,Topaz Park,"841 Finlayson St, Victoria, BC V8T 5K8",0.3
59170126,Wesley Park Playground,"841 Finlayson St, Victoria, BC V8T 5K8",0.3
59170126,Rutledge Park ,"901 Inverness Rd, Victoria, BC V8X 2R9",0.45
59170127,Topaz Park,"841 Finlayson St, Victoria, BC V8T 5K8",0.27
59170127,Wesley Park Playground,"841 Finlayson St, Victoria, BC V8T 5K8",0.27
59170127,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.26
59170127,Quadra Heights Playground,"825 Villance St, Victoria, BC V8X 2P5",0.35
59170127,Summit Park,"1245 Summit Ave, Victoria, BC V8T 2P9",0.45
59170128,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.31
59170129,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.38
59170130,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.34
59170131,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.15
59170132,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.43
59170132,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.43
59170132,Hillside Park,"1280 Hillside Ave, Victoria, BC V8T 2B3",0.39
59170133,Hillside Park,"1280 Hillside Ave, Victoria, BC V8T 2B3",0.21
59170133,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.24
59170133,Oaklands Park,"1500 Kings Rd, Victoria, BC V8R 4G8",0.33
59170133,Kings Community Nature Space,"1845 Kings Rd, Victoria, BC V8R 2P3",0.33
59170133,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.38
59170134,Hillside Park,"1280 Hillside Ave, Victoria, BC V8T 2B3",0.13
59170134,Oaklands Park,"1500 Kings Rd, Victoria, BC V8R 4G8",0.16
59170134,Kings Community Nature Space,"1845 Kings Rd, Victoria, BC V8R 2P3",0.16
59170134,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.24
59170135,Oaklands Park,"1500 Kings Rd, Victoria, BC V8R 4G8",0.09
59170135,Kings Community Nature Space,"1845 Kings Rd, Victoria, BC V8R 2P3",0.09
59170135,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.14
