DAUID,Target_name,Target_address,Distance (km)
59170126,Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.15
59170127,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.36
59170127,Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.39
59170128,Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.35
59170128,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.54
59170129,Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.59
59170130,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.65
59170131,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.66
59170131,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.61
59170132,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.34
59170133,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.23
59170133,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.38
59170133,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.41
59170134,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.19
59170134,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.23
59170135,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.28
59170135,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.39
59170135,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.55
59170136,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.36
59170136,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.4
59170137,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.52
59170137,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.49
59170138,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.38
59170138,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.37
59170139,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.47
59170139,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.59
59170140,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.69
59170140,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.23
59170140,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.45
59170141,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.18
59170141,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.37
59170142,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.11
59170142,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.37
59170143,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.28
59170143,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.25
59170143,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",1.09
59170144,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.47
59170145,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.51
59170146,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.49
59170147,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.66
59170148,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.78
59170149,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.69
59170150,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.88
59170151,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.28
59170152,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.32
59170152,Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.43
59170153,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.46
59170154,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.38
59170154,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.49
59170155,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.21
59170155,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.38
59170156,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.21
59170156,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.44
59170157,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.41
59170157,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.33
59170161,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.44
59170162,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.57
59170163,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.41
59170164,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.42
59170165,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.51
59170166,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.55
59170166,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.46
59170167,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.41
59170168,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.46
59170168,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.44
59170169,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.22
59170169,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.46
59170169,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.42
59170170,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.42
59170170,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.46
59170170,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.48
59170171,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.2
59170171,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.47
59170172,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.32
59170174,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.35
59170174,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.49
59170175,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.54
59170175,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.69
59170177,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.38
59170178,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.18
59170179,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.36
59170180,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.15
59170180,St. Patrick's Elementary School," 2368 Trent St, Victoria, BC V8R 4Z3  ",0.41
59170181,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.31
59170181,St. Patrick's Elementary School," 2368 Trent St, Victoria, BC V8R 4Z3  ",0.37
59170197,Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.46
59170198,Sundance-Bank Elementary,"1623 Bank St, Victoria, BC V8R 4V5",0.3
59170199,Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.39
59170200,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.4
59170200,Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.28
59170201,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.39
59170201,Glenlyon Norfolk School,"781 Richmond Ave, Victoria, BC V8S 4A4",0.26
59170202,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.14
59170202,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.24
59170202,Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.29
59170203,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.14
59170203,Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.3
59170203,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.35
59170204,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.3
59170204,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.53
59170224,St. Michaels University School ,"3400 Richmond Rd, Victoria, BC V8P 4P5",0.22
59170224,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.49
59170225,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.38
59170225,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.41
59170225,École Intermédiaire Lansdowne Middle School," 1765 Lansdowne Rd, Victoria, BC V8P 1A7",0.48
59170226,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.23
59170226,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.44
59170227,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.34
59170227,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.31
59170228,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.17
59170228,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.38
59170229,École Intermédiaire Lansdowne Middle School," 1765 Lansdowne Rd, Victoria, BC V8P 1A7",0.49
59170272,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.43
59170273,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.39
59170273,Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.24
59170273,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.46
59170274,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.38
59170275,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.28
59170275,Ross Bay Preschool,"1620 Earle St, Victoria, BC V8S 1N5",0.26
59170275,Christ Church Cathedral School (Junior Kindergarten at St. Matthias),"1670 Richardson St, Victoria, BC V8S 1R4",0.47
59170275,Margaret Jenkins Elementary,"1824 Fairfield Rd, Victoria, BC V8S 1G8",0.48
59170275,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.46
59170276,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.29
59170277,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.35
59170278,École Intermédiaire Central Middle School,"1280 Fort St, Victoria, BC V8V 3L2",0.37
59170279,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.38
59170280,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.33
59170281,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.12
59170282,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.55
59170285,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.39
59170286,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.69
59170286,Christ Church Cathedral School (Main Campus),"912 Vancouver St, Victoria, BC V8V 3V7",0.57
59170287,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.42
59170288,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.31
59170289,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.4
59170290,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.66
59170291,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.54
59170292,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.86
59170293,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.98
59170294,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.82
59170295,Sir James Douglas Elementary,"401 Moss St, Victoria, BC V8V 4N2",0.82
59170296,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.48
59170297,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.54
59170298,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.59
59170298,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.59
59170299,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.52
59170300,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.16
59170301,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.12
59170302,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.48
59170303,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.28
59170303,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.35
59170304,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.17
59170304,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.39
59170305,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.17
59170305,Christ Church Cathedral Pre-School,"520 Niagara St, Victoria, BC V8V 1H5",0.38
59170308,James Bay Elementary School ,"140 Oswego St, Victoria, BC V8V 2B1",0.4
