DAUID,Target_name,Target_address,Distance (km)
59170126,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.52
59170127,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.62
59170127,Douglas Centre,"2950 Douglas St, Victoria, BC V8T 4N4",0.5
59170128,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",1.13
59170129,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",1.16
59170130,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",1.61
59170131,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.84
59170132,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.51
59170133,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.63
59170134,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.19
59170135,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.42
59170136,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.24
59170137,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.49
59170138,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.77
59170139,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.7
59170140,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.91
59170141,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.25
59170142,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.07
59170143,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.06
59170144,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.89
59170145,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.67
59170146,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.56
59170148,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.23
59170149,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.31
59170150,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.19
59170151,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.53
59170152,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.8
59170152,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.63
59170153,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.59
59170154,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.87
59170155,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.82
59170156,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.16
59170157,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.98
59170162,The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9",0.98
59170162,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.82
59170163,The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9",0.64
59170164,The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9",0.84
59170165,Cook Street Shopping Hub,"325 Cook St, Victoria, BC V8V 3X5",1.12
59170167,The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9",1.15
59170168,The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9",1.21
59170169,The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9",1.45
59170170,The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9",1.04
59170171,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.49
59170172,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.48
59170174,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.71
59170174,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.79
59170175,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.85
59170175,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.92
59170177,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.68
59170178,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.76
59170179,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.93
59170180,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.98
59170181,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",2.04
59170197,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.46
59170198,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.68
59170199,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.37
59170200,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",1.02
59170201,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",0.92
59170202,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",0.54
59170203,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",0.46
59170204,Fairfield Village Shopping Centre,"1516 Fairfield Rd, Victoria, BC V8S 1G1",0.92
59170224,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",2.4
59170225,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",2.24
59170226,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",2.08
59170227,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.98
59170228,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.72
