DAUID,Target_name,Target_address,Distance (km)
59170126,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",1.44
59170127,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.5
59170127,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",1.2
59170128,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.99
59170129,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",2.08
59170130,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",2.45
59170131,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",2.72
59170132,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.42
59170133,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.5
59170134,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.04
59170135,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.12
59170136,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.92
59170137,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.15
59170138,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.41
59170139,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.19
59170140,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",2.31
59170140,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.97
59170141,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.79
59170142,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.59
59170143,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.27
59170144,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.21
59170145,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.28
59170146,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.37
59170148,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.02
59170149,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.07
59170150,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",0.8
59170151,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.43
59170152,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.56
59170153,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.51
59170154,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.69
59170155,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.7
