DAUID,DA_address,Target_name,Target_address,Distance (km)
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.99
59170126,"847 Villance St, Victoria, BC V8X 2P5",Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",1.09
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.66
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.69
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.95
59170128,"1120 Finlayson St, Victoria, BC V8T 2T9",Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.89
59170128,"1345 Lang St, Victoria, BC V8T 2S4",Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",1.0
59170129,"3147 Mars St, Victoria, BC V8X 1B9",Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",1.12
59170130,"1422 Lang St, Victoria, BC V8T 2S7",WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.96
59170130,"1440 Lang St, Victoria, BC V8T 2S7",WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.83
59170131,"1545 Burton Ave, Victoria, BC V8T 2N3",WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.49
59170131,"2930 Gosworth Rd, Victoria, BC V8T 3C7",WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.65
59170132,"1444 Edgeware Rd, Victoria, BC V8T 2J5",WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.77
59170132,"2933 Cedar Hill Rd, Victoria, BC V8T 3H8",WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.9
59170133,"1360 Hillside Ave, Victoria, BC V8T 2B5",Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.89
59170133,"1443 Westall Ave, Victoria, BC V8T 2G4",WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.44
59170133,"1443 Westall Ave, Victoria, BC V8T 2G4",Victoria Oceanside Health,"3066 Shelbourne St #235, Victoria, BC V8R 6T9",0.49
59170133,"1443 Westall Ave, Victoria, BC V8T 2G4",Oaklands Health Clinic,"325-3066 Shelbourne St, Victoria, BC V8R 6T9",0.5
59170134,"2750 Mt. Stephen Ave, Victoria, BC V8T 2B3",Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.74
59170135,"1251 Acton St, Victoria, BC V8T 1Y1",Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.85
59170135,"2737 Avebury Ave, Victoria, BC V8R 3W5",Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",1.05
