DAUID,DA_address,Target_name,Target_address,Distance (km)
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",downtown,NA,1.86
59170126,"847 Villance St, Victoria, BC V8X 2P5",downtown,NA,1.89
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",downtown,NA,1.5
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",downtown,NA,1.59
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",downtown,NA,1.7
59170128,"1120 Finlayson St, Victoria, BC V8T 2T9",downtown,NA,1.8
59170128,"1345 Lang St, Victoria, BC V8T 2S4",downtown,NA,1.9
59170129,"3147 Mars St, Victoria, BC V8X 1B9",downtown,NA,2.04
59170130,"1422 Lang St, Victoria, BC V8T 2S7",downtown,NA,2.07
59170130,"1440 Lang St, Victoria, BC V8T 2S7",downtown,NA,2.12
59170131,"1545 Burton Ave, Victoria, BC V8T 2N3",downtown,NA,2.21
59170131,"2930 Gosworth Rd, Victoria, BC V8T 3C7",downtown,NA,2.09
59170132,"1444 Edgeware Rd, Victoria, BC V8T 2J5",downtown,NA,1.86
59170132,"2933 Cedar Hill Rd, Victoria, BC V8T 3H8",downtown,NA,1.76
59170133,"1360 Hillside Ave, Victoria, BC V8T 2B5",downtown,NA,1.6
59170133,"1443 Westall Ave, Victoria, BC V8T 2G4",downtown,NA,2.09
59170134,"2750 Mt. Stephen Ave, Victoria, BC V8T 2B3",downtown,NA,1.41
59170135,"1251 Acton St, Victoria, BC V8T 1Y1",downtown,NA,1.39
59170135,"2737 Avebury Ave, Victoria, BC V8R 3W5",downtown,NA,1.2
59170136,"2536 Garden St, Victoria, BC V8T 3G5",downtown,NA,1.05
59170136,"2640 Cedar Hill Rd, Victoria, BC V8T 3H2",downtown,NA,1.22
59170137,"2522 Avebury Ave, Victoria, BC V8R 3V9",downtown,NA,1.18
59170137,"2636 Roseberry Ave, Victoria, BC V8R 3T7",downtown,NA,1.3
59170138,"2544 Forbes St, Victoria, BC V8R 4B8",downtown,NA,1.37
59170138,"2634 Belmont Ave, Victoria, BC V8R 4A6",downtown,NA,1.47
59170139,"1440 Taunton St, Victoria, BC V8R 1W9",downtown,NA,1.03
59170139,"1453 Walnut St, Victoria, BC V8R 1Y7",downtown,NA,1.15
59170140,"1325 Denman St, Victoria, BC V8R 1X4",downtown,NA,1.52
59170140,"1337 Gladstone Ave, Victoria, BC V8R 1R9",downtown,NA,0.79
59170141,"1270 Denman St, Victoria, BC V8T 1L8",downtown,NA,0.82
59170141,"2412 Cedar Hill Rd, Victoria, BC V8T 3G7",downtown,NA,0.87
59170142,"1150 Queens Ave, Victoria, BC V8T 1M9",downtown,NA,0.75
59170142,"1224 Princess Ave, Victoria, BC V8T 1L5",downtown,NA,0.7
59170143,"1137 Caledonia Ave, Victoria, BC V8T 1E9",downtown,NA,0.36
59170143,"1284D Gladstone Ave, Victoria, BC V8T 1G6",downtown,NA,0.54
59170143,"1907 Chambers St, Victoria, BC V8T 3K5",downtown,NA,0.41
59170143,"935 Caledonia Ave, Victoria, BC V8T 1E7",downtown,NA,0.15
59170143,"935 Caledonia Ave, Victoria, BC V8T 1E7",downtown,NA,0.31
59170143,"935 Caledonia Ave, Victoria, BC V8T 1E7",downtown,NA,0.46
59170144,"1022 N Park St, Victoria, BC V8T 1C6",downtown,NA,0.3
59170144,"1022 N Park St, Victoria, BC V8T 1C6",downtown,NA,0.5
59170144,"1034 Princess Ave, Victoria, BC V8T 1L1",downtown,NA,0.62
59170145,"2323 Vancouver St, Victoria, BC V8T 4A2",downtown,NA,0.63
59170146,"2555 Vancouver St, Victoria, BC V8T 4A6",downtown,NA,0.76
59170148,"2317 Dowler Pl, Victoria, BC V8T 4H5",downtown,NA,0.41
