DAUID,DA_address,Target_name,Target_address,Distance (km)
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",1.12
59170126,"847 Villance St, Victoria, BC V8X 2P5",Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",1.13
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.77
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.84
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",1.0
59170128,"1120 Finlayson St, Victoria, BC V8T 2T9",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",1.06
59170128,"1345 Lang St, Victoria, BC V8T 2S4",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",1.09
59170129,"3147 Mars St, Victoria, BC V8X 1B9",Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",1.32
59170130,"1422 Lang St, Victoria, BC V8T 2S7",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",1.01
59170130,"1440 Lang St, Victoria, BC V8T 2S7",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.92
59170131,"1545 Burton Ave, Victoria, BC V8T 2N3",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.63
59170131,"2930 Gosworth Rd, Victoria, BC V8T 3C7",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.68
59170132,"1444 Edgeware Rd, Victoria, BC V8T 2J5",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.55
59170132,"2933 Cedar Hill Rd, Victoria, BC V8T 3H8",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.66
59170133,"1360 Hillside Ave, Victoria, BC V8T 2B5",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.6
59170133,"1443 Westall Ave, Victoria, BC V8T 2G4",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.36
59170134,"2750 Mt. Stephen Ave, Victoria, BC V8T 2B3",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.72
59170135,"1251 Acton St, Victoria, BC V8T 1Y1",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.63
59170135,"2737 Avebury Ave, Victoria, BC V8R 3W5",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.69
59170136,"2536 Garden St, Victoria, BC V8T 3G5",Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.82
59170136,"2640 Cedar Hill Rd, Victoria, BC V8T 3H2",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.73
59170137,"2522 Avebury Ave, Victoria, BC V8R 3V9",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.71
59170137,"2636 Roseberry Ave, Victoria, BC V8R 3T7",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.57
59170138,"2544 Forbes St, Victoria, BC V8R 4B8",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.65
59170138,"2634 Belmont Ave, Victoria, BC V8R 4A6",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.44
59170139,"1440 Taunton St, Victoria, BC V8R 1W9",Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",1.0
