DAUID,DA_address,Target_name,Target_address,Distance (km)
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.1
59170126,"847 Villance St, Victoria, BC V8X 2P5",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.36
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.21
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.03
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.45
59170128,"1120 Finlayson St, Victoria, BC V8T 2T9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.87
59170128,"1345 Lang St, Victoria, BC V8T 2S4",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.44
59170129,"3147 Mars St, Victoria, BC V8X 1B9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.59
59170130,"1422 Lang St, Victoria, BC V8T 2S7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.24
59170130,"1440 Lang St, Victoria, BC V8T 2S7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.16
59170131,"1545 Burton Ave, Victoria, BC V8T 2N3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.39
59170131,"2930 Gosworth Rd, Victoria, BC V8T 3C7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.33
59170132,"1444 Edgeware Rd, Victoria, BC V8T 2J5",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.57
59170132,"2933 Cedar Hill Rd, Victoria, BC V8T 3H8",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.59
59170133,"1360 Hillside Ave, Victoria, BC V8T 2B5",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.8
59170133,"1443 Westall Ave, Victoria, BC V8T 2G4",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.64
59170134,"2750 Mt. Stephen Ave, Victoria, BC V8T 2B3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.98
59170135,"1251 Acton St, Victoria, BC V8T 1Y1",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.07
59170135,"2737 Avebury Ave, Victoria, BC V8R 3W5",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.5
59170136,"2536 Garden St, Victoria, BC V8T 3G5",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.45
59170136,"2640 Cedar Hill Rd, Victoria, BC V8T 3H2",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.25
59170137,"2522 Avebury Ave, Victoria, BC V8R 3V9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.51
59170137,"2636 Roseberry Ave, Victoria, BC V8R 3T7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.28
59170138,"2544 Forbes St, Victoria, BC V8R 4B8",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.58
59170138,"2634 Belmont Ave, Victoria, BC V8R 4A6",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.34
59170139,"1440 Taunton St, Victoria, BC V8R 1W9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.85
59170139,"1453 Walnut St, Victoria, BC V8R 1Y7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.75
59170140,"1325 Denman St, Victoria, BC V8R 1X4",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.97
59170140,"1337 Gladstone Ave, Victoria, BC V8R 1R9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.05
59170141,"1270 Denman St, Victoria, BC V8T 1L8",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.74
59170141,"2412 Cedar Hill Rd, Victoria, BC V8T 3G7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.6
59170142,"1150 Queens Ave, Victoria, BC V8T 1M9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.69
59170142,"1224 Princess Ave, Victoria, BC V8T 1L5",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.77
59170143,"1137 Caledonia Ave, Victoria, BC V8T 1E9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.09
59170143,"1284D Gladstone Ave, Victoria, BC V8T 1G6",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.0
59170143,"1907 Chambers St, Victoria, BC V8T 3K5",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.08
59170143,"935 Caledonia Ave, Victoria, BC V8T 1E7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.36
59170144,"1022 N Park St, Victoria, BC V8T 1C6",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.19
59170144,"1034 Princess Ave, Victoria, BC V8T 1L1",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.83
59170145,"2323 Vancouver St, Victoria, BC V8T 4A2",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.73
59170146,"2555 Vancouver St, Victoria, BC V8T 4A6",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.53
59170148,"2317 Dowler Pl, Victoria, BC V8T 4H5",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.9
59170148,"2501 Dowler Pl, Victoria, BC V8T 4H7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.81
59170148,"2533 Dowler Pl, Victoria, BC V8T 4H7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.77
59170149,"2620 Dowler Pl, Victoria, BC V8T 4H8",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.99
59170149,"955 Hillside Ave, Victoria, BC V8T 1Z9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.59
59170150,"723 Field St, Victoria, BC V8T 1N7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.04
59170151,"932 Market St, Victoria, BC V8T 2E9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.37
59170152,"272 Fifth St, Victoria, BC V8T 4E8",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.09
59170152,"2735 Fifth St, Victoria, BC V8T 4B1",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.26
59170153,"2648 Graham St, Victoria, BC V8T 3Y9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.33
59170154,"2840 Prior St, Victoria, BC V8T 3Y3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.03
59170155,"2631 Blackwood St, Victoria, BC V8T 3W3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.19
59170156,"1250 Vista Heights, Victoria, BC V8T 2H8",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.88
59170156,"1345 Topaz Ave, Victoria, BC V8T 4Z2",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.64
59170157,"2526 Wesley Pl, Victoria, BC V8T 1V2",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.49
59170157,"2576 Empire St, Victoria, BC V8T 3M6",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.37
59170162,"1028 Balmoral Rd, Victoria, BC V8T 1A8",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.27
59170162,"1565 Vancouver St, Victoria, BC V8V 0C8",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.08
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.68
59170164,"1030 Yates St, Victoria, BC V8V 5A7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.65
59170165,"1144 View St, Victoria, BC V8V 3M1",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.74
59170167,"1607 Rebecca St, Victoria, BC V8T 3N3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.32
59170168,"1229 Pandora Ave, Victoria, BC V8V 3R3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.44
59170168,"26-1132 Johnson St, Victoria, BC V8V 3N8",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.53
59170169,"1230 Balmoral Rd, Victoria, BC V8T 1B3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.26
59170169,"1285 Balmoral Rd, Victoria, BC V8T 1B4",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.34
59170170,"1215 Johnson St, Victoria, BC V8V 3N9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.6
59170170,"1250 Johnson St, Victoria, BC V8V 4L4",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.55
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.63
59170171,"1404 Harrison St, Victoria, BC V8S 3S2",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.55
59170172,"1436 Elford St, Victoria, BC V8S 3S8",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.54
59170174,"1337 Grant St, Victoria, BC V8R 1M2",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.26
59170174,"1434 Grant St, Victoria, BC V8R 1M5",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.23
59170175,"1436 Gladstone Ave, Victoria, BC V8R 1S3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.04
59170175,"1551 Gladstone Ave, Victoria, BC V8R 1S4",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.17
59170175,"2234 Forbes St, Victoria, BC V8R 4B4",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.94
59170177,"1530 Belcher Ave, Victoria, BC V8R 4N1",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.53
59170178,"1550 Richmond Ave, Victoria, BC V8R 4P6",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.59
59170179,"1827 Chestnut St, Victoria, BC V8R 4N6",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.33
59170180,"1607 Fell St, Victoria, BC V8R 4V9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.71
59170180,"1746 Davie St, Victoria, BC V8R 4W6",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.52
59170181,"1605 Redfern St, Victoria, BC V8R 4X3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.83
59170181,"1732 Amphion St, Victoria, BC V8R 4Z7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.68
59170197,"941 Lawndale Ave, Victoria, BC V8S 4C9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.26
59170198,"1041 Chamberlain St, Victoria, BC V8S 4C1",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.94
59170199,"1750 Rockland Ave, Victoria, BC V8S 1W9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.86
59170200,"34 Armine Pl, Victoria, BC V8S 1S7",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.65
59170200,"801 Bank St, Victoria, BC V8S 4A8",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.33
59170201,"1530 Despard Ave, Victoria, BC V8S 1T3",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.34
59170201,"1730 Algoa Pl, Victoria, BC V8S 5J6",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.16
59170202,"1708 Chandler Ave, Victoria, BC V8S 1N6",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.73
59170203,"1737 Fairfield Rd, Victoria, BC V8S 1G6",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.94
59170203,"237 Wildwood Ave, Victoria, BC V8S 3W2",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",4.17
59170204,"326 Irving Rd, Victoria, BC V8S 4A2",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",4.0
59170204,"443 Chadwick Pl, Victoria, BC V8S 1H4",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",3.86
59170224,"1733 Kings Rd, Victoria, BC V8R 2N9",Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.64
