DAUID,DA_address,Target_name,Target_address,Distance (km)
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.81
59170126,"847 Villance St, Victoria, BC V8X 2P5",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.9
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.47
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.52
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.76
59170128,"1120 Finlayson St, Victoria, BC V8T 2T9",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.74
59170128,"1345 Lang St, Victoria, BC V8T 2S4",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.93
59170129,"3147 Mars St, Victoria, BC V8X 1B9",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.0
59170130,"1422 Lang St, Victoria, BC V8T 2S7",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.12
59170130,"1440 Lang St, Victoria, BC V8T 2S7",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.21
59170131,"1545 Burton Ave, Victoria, BC V8T 2N3",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.42
59170131,"2930 Gosworth Rd, Victoria, BC V8T 3C7",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.27
59170132,"1444 Edgeware Rd, Victoria, BC V8T 2J5",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.12
59170132,"2933 Cedar Hill Rd, Victoria, BC V8T 3H8",Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.99
59170133,"1360 Hillside Ave, Victoria, BC V8T 2B5",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.92
59170133,"1443 Westall Ave, Victoria, BC V8T 2G4",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",1.19
59170134,"2750 Mt. Stephen Ave, Victoria, BC V8T 2B3",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.76
59170135,"1251 Acton St, Victoria, BC V8T 1Y1",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.85
59170135,"2737 Avebury Ave, Victoria, BC V8R 3W5",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.55
59170136,"2536 Garden St, Victoria, BC V8T 3G5",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.57
59170136,"2640 Cedar Hill Rd, Victoria, BC V8T 3H2",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.77
59170137,"2522 Avebury Ave, Victoria, BC V8R 3V9",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.53
59170137,"2636 Roseberry Ave, Victoria, BC V8R 3T7",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.74
59170138,"2544 Forbes St, Victoria, BC V8R 4B8",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.31
59170138,"2634 Belmont Ave, Victoria, BC V8R 4A6",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.51
59170139,"1440 Taunton St, Victoria, BC V8R 1W9",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.29
59170139,"1440 Taunton St, Victoria, BC V8R 1W9",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.5
59170139,"1453 Walnut St, Victoria, BC V8R 1Y7",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.41
59170139,"1453 Walnut St, Victoria, BC V8R 1Y7",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.42
59170140,"1325 Denman St, Victoria, BC V8R 1X4",Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.17
59170140,"1337 Gladstone Ave, Victoria, BC V8R 1R9",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.09
59170141,"1270 Denman St, Victoria, BC V8T 1L8",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.29
59170141,"2412 Cedar Hill Rd, Victoria, BC V8T 3G7",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.48
59170142,"1150 Queens Ave, Victoria, BC V8T 1M9",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.57
59170142,"1224 Princess Ave, Victoria, BC V8T 1L5",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.37
59170143,"1137 Caledonia Ave, Victoria, BC V8T 1E9",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.44
59170143,"1137 Caledonia Ave, Victoria, BC V8T 1E9",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.49
59170143,"1284D Gladstone Ave, Victoria, BC V8T 1G6",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.24
59170143,"1907 Chambers St, Victoria, BC V8T 3K5",Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.38
59170143,"935 Caledonia Ave, Victoria, BC V8T 1E7",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.73
59170144,"1022 N Park St, Victoria, BC V8T 1C6",Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.27
59170144,"1034 Princess Ave, Victoria, BC V8T 1L1",Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.63
