DAUID,DA_address,Target_name,Target_address,Distance (km)
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.21
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Quadra Heights Playground,"825 Villance St, Victoria, BC V8X 2P5",0.27
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Topaz Park,"841 Finlayson St, Victoria, BC V8T 5K8",0.37
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Wesley Park Playground,"841 Finlayson St, Victoria, BC V8T 5K8",0.37
59170126,"847 Villance St, Victoria, BC V8X 2P5",Quadra Heights Playground,"825 Villance St, Victoria, BC V8X 2P5",0.03
59170126,"847 Villance St, Victoria, BC V8X 2P5",Topaz Park,"841 Finlayson St, Victoria, BC V8T 5K8",0.24
59170126,"847 Villance St, Victoria, BC V8X 2P5",Wesley Park Playground,"841 Finlayson St, Victoria, BC V8T 5K8",0.24
59170126,"847 Villance St, Victoria, BC V8X 2P5",Rutledge Park ,"901 Inverness Rd, Victoria, BC V8X 2R9",0.45
59170126,"847 Villance St, Victoria, BC V8X 2P5",Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.46
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Topaz Park,"841 Finlayson St, Victoria, BC V8T 5K8",0.3
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Wesley Park Playground,"841 Finlayson St, Victoria, BC V8T 5K8",0.3
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.33
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Quadra Heights Playground,"825 Villance St, Victoria, BC V8X 2P5",0.47
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.18
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Topaz Park,"841 Finlayson St, Victoria, BC V8T 5K8",0.45
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Wesley Park Playground,"841 Finlayson St, Victoria, BC V8T 5K8",0.45
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Topaz Park,"841 Finlayson St, Victoria, BC V8T 5K8",0.05
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Wesley Park Playground,"841 Finlayson St, Victoria, BC V8T 5K8",0.05
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Quadra Heights Playground,"825 Villance St, Victoria, BC V8X 2P5",0.23
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Summit Park,"1245 Summit Ave, Victoria, BC V8T 2P9",0.45
59170128,"1120 Finlayson St, Victoria, BC V8T 2T9",Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.07
59170128,"1345 Lang St, Victoria, BC V8T 2S4",Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.54
59170129,"3147 Mars St, Victoria, BC V8X 1B9",Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.38
