DAUID,DA_address,Target_name,Target_address,Distance (km)
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.1
59170126,"847 Villance St, Victoria, BC V8X 2P5",Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.19
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.23
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.41
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.36
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.41
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.34
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.49
59170128,"1120 Finlayson St, Victoria, BC V8T 2T9",Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.35
59170128,"1345 Lang St, Victoria, BC V8T 2S4",Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.54
59170129,"3147 Mars St, Victoria, BC V8X 1B9",Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.59
59170130,"1422 Lang St, Victoria, BC V8T 2S7",Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.63
59170130,"1440 Lang St, Victoria, BC V8T 2S7",Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.66
59170131,"1545 Burton Ave, Victoria, BC V8T 2N3",Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.66
59170131,"2930 Gosworth Rd, Victoria, BC V8T 3C7",Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.61
59170132,"1444 Edgeware Rd, Victoria, BC V8T 2J5",Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.4
59170132,"2933 Cedar Hill Rd, Victoria, BC V8T 3H8",Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.28
59170133,"1360 Hillside Ave, Victoria, BC V8T 2B5",Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.23
59170133,"1360 Hillside Ave, Victoria, BC V8T 2B5",Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.38
