DAUID,DA_address,Target_name,Target_address,Distance (km)
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.65
59170126,"847 Villance St, Victoria, BC V8X 2P5",Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.39
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.69
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.82
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.34
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Douglas Centre,"2950 Douglas St, Victoria, BC V8T 4N4",0.5
59170128,"1120 Finlayson St, Victoria, BC V8T 2T9",Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.89
59170128,"1345 Lang St, Victoria, BC V8T 2S4",Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",1.08
59170129,"3147 Mars St, Victoria, BC V8X 1B9",Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",1.16
59170130,"1422 Lang St, Victoria, BC V8T 2S7",Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",0.91
59170130,"1440 Lang St, Victoria, BC V8T 2S7",Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",0.78
59170131,"1545 Burton Ave, Victoria, BC V8T 2N3",Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",0.43
59170131,"2930 Gosworth Rd, Victoria, BC V8T 3C7",Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",0.59
59170132,"1444 Edgeware Rd, Victoria, BC V8T 2J5",Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",0.71
59170132,"2933 Cedar Hill Rd, Victoria, BC V8T 3H8",Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",0.84
