DAUID,DA_address,Target_name,Target_address,Distance (km)
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",0.94
59170126,"847 Villance St, Victoria, BC V8X 2P5",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",0.69
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.1
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.19
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",0.75
59170128,"1120 Finlayson St, Victoria, BC V8T 2T9",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.19
59170128,"1345 Lang St, Victoria, BC V8T 2S4",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.66
59170129,"3147 Mars St, Victoria, BC V8X 1B9",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.39
59170130,"1422 Lang St, Victoria, BC V8T 2S7",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.81
59170130,"1440 Lang St, Victoria, BC V8T 2S7",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.93
59170131,"1545 Burton Ave, Victoria, BC V8T 2N3",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",2.29
59170131,"2930 Gosworth Rd, Victoria, BC V8T 3C7",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",2.15
59170132,"1444 Edgeware Rd, Victoria, BC V8T 2J5",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",2.17
59170132,"2933 Cedar Hill Rd, Victoria, BC V8T 3H8",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",2.06
59170133,"1360 Hillside Ave, Victoria, BC V8T 2B5",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.99
59170133,"1443 Westall Ave, Victoria, BC V8T 2G4",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",2.39
59170134,"2750 Mt. Stephen Ave, Victoria, BC V8T 2B3",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.79
59170135,"1251 Acton St, Victoria, BC V8T 1Y1",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.77
59170135,"2737 Avebury Ave, Victoria, BC V8R 3W5",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.72
59170136,"2536 Garden St, Victoria, BC V8T 3G5",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.49
59170136,"2640 Cedar Hill Rd, Victoria, BC V8T 3H2",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.62
59170137,"2522 Avebury Ave, Victoria, BC V8R 3V9",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.69
59170137,"2636 Roseberry Ave, Victoria, BC V8R 3T7",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.76
59170138,"2544 Forbes St, Victoria, BC V8R 4B8",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.68
59170138,"2634 Belmont Ave, Victoria, BC V8R 4A6",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.86
59170139,"1440 Taunton St, Victoria, BC V8R 1W9",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.61
59170139,"1453 Walnut St, Victoria, BC V8R 1Y7",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.71
59170140,"1325 Denman St, Victoria, BC V8R 1X4",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.24
59170140,"1337 Gladstone Ave, Victoria, BC V8R 1R9",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.39
59170141,"1270 Denman St, Victoria, BC V8T 1L8",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.34
59170141,"2412 Cedar Hill Rd, Victoria, BC V8T 3G7",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.32
59170142,"1150 Queens Ave, Victoria, BC V8T 1M9",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.13
59170142,"1224 Princess Ave, Victoria, BC V8T 1L5",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.18
59170143,"1137 Caledonia Ave, Victoria, BC V8T 1E9",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.86
59170143,"1284D Gladstone Ave, Victoria, BC V8T 1G6",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.1
59170143,"1907 Chambers St, Victoria, BC V8T 3K5",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.95
59170143,"935 Caledonia Ave, Victoria, BC V8T 1E7",Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",0.49
59170144,"1022 N Park St, Victoria, BC V8T 1C6",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.63
59170144,"1034 Princess Ave, Victoria, BC V8T 1L1",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.92
59170145,"2323 Vancouver St, Victoria, BC V8T 4A2",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.0
59170146,"2555 Vancouver St, Victoria, BC V8T 4A6",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.2
59170148,"2317 Dowler Pl, Victoria, BC V8T 4H5",Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",0.9
59170148,"2501 Dowler Pl, Victoria, BC V8T 4H7",Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",1.0
59170148,"2533 Dowler Pl, Victoria, BC V8T 4H7",Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",1.07
59170149,"2620 Dowler Pl, Victoria, BC V8T 4H8",Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",0.81
59170149,"955 Hillside Ave, Victoria, BC V8T 1Z9",Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",1.33
59170150,"723 Field St, Victoria, BC V8T 1N7",Pacific Rim College,"560 Johnson St, Victoria, BC V8W 3C6",0.84
59170151,"932 Market St, Victoria, BC V8T 2E9",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.52
59170152,"272 Fifth St, Victoria, BC V8T 4E8",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.19
59170152,"2735 Fifth St, Victoria, BC V8T 4B1",Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",1.58
59170153,"2648 Graham St, Victoria, BC V8T 3Y9",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.44
59170154,"2840 Prior St, Victoria, BC V8T 3Y3",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.51
59170155,"2631 Blackwood St, Victoria, BC V8T 3W3",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.54
59170156,"1250 Vista Heights, Victoria, BC V8T 2H8",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.76
59170156,"1345 Topaz Ave, Victoria, BC V8T 4Z2",Edison College,"3318 Oak St, Victoria, BC V8X 1R1",1.84
59170157,"2526 Wesley Pl, Victoria, BC V8T 1V2",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.33
59170157,"2576 Empire St, Victoria, BC V8T 3M6",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.39
59170162,"1028 Balmoral Rd, Victoria, BC V8T 1A8",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.59
59170162,"1565 Vancouver St, Victoria, BC V8V 0C8",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.67
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.26
59170163,"930 Yates St, Victoria, BC V8V 4Z3",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.36
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",0.4
59170163,"930 Yates St, Victoria, BC V8V 4Z3",Excel Career College,"1207 Douglas St, Victoria, BC V8W 2E7",0.5
59170164,"1030 Yates St, Victoria, BC V8V 5A7",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.47
59170165,"1144 View St, Victoria, BC V8V 3M1",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.73
59170167,"1607 Rebecca St, Victoria, BC V8T 3N3",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.75
59170168,"1229 Pandora Ave, Victoria, BC V8V 3R3",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.93
59170168,"26-1132 Johnson St, Victoria, BC V8V 3N8",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.7
59170169,"1230 Balmoral Rd, Victoria, BC V8T 1B3",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.97
59170169,"1285 Balmoral Rd, Victoria, BC V8T 1B4",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.14
59170170,"1215 Johnson St, Victoria, BC V8V 3N9",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.82
59170170,"1250 Johnson St, Victoria, BC V8V 4L4",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.93
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",0.22
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Vancouver Island School of Art,"733 Johnson St #302, Victoria, BC V8W 3C7",0.35
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.39
59170170,"1323 Johnson St, Victoria, BC V8V 3P2",Excel Career College,"1207 Douglas St, Victoria, BC V8W 2E7",0.47
59170171,"1404 Harrison St, Victoria, BC V8S 3S2",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.27
59170172,"1436 Elford St, Victoria, BC V8S 3S8",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.46
59170174,"1337 Grant St, Victoria, BC V8R 1M2",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.32
59170174,"1434 Grant St, Victoria, BC V8R 1M5",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.55
59170175,"1436 Gladstone Ave, Victoria, BC V8R 1S3",Bermand College ,"1321 Blanshard Street, Victoria, BC V8W 2H6",1.6
59170175,"1551 Gladstone Ave, Victoria, BC V8R 1S4",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.36
59170175,"2234 Forbes St, Victoria, BC V8R 4B4",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.53
59170177,"1530 Belcher Ave, Victoria, BC V8R 4N1",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.07
59170178,"1550 Richmond Ave, Victoria, BC V8R 4P6",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",0.86
59170179,"1827 Chestnut St, Victoria, BC V8R 4N6",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",1.01
59170180,"1607 Fell St, Victoria, BC V8R 4V9",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",0.6
59170180,"1746 Davie St, Victoria, BC V8R 4W6",Canadian College of the Performing Arts,"1701 Elgin Rd, Victoria, BC V8R 5L5",0.62
