DAUID,DA_address,Target_name,Target_address,Distance (km)
59170126,"3148 Fifth St, Victoria, BC V8X 1E7",Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",1.57
59170126,"847 Villance St, Victoria, BC V8X 2P5",Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",1.31
59170127,"3000 Quadra St, Victoria, BC V8T 4G3",Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.41
59170127,"3037 Josette Pl, Victoria, BC V8T 4Z9",Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.6
59170127,"3118 Rutledge St, Victoria, BC V8X 1N2",Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",1.2
59170128,"1120 Finlayson St, Victoria, BC V8T 2T9",Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.77
59170128,"1345 Lang St, Victoria, BC V8T 2S4",Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",2.2
59170129,"3147 Mars St, Victoria, BC V8X 1B9",Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",2.08
59170130,"1422 Lang St, Victoria, BC V8T 2S7",Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",2.39
59170130,"1440 Lang St, Victoria, BC V8T 2S7",Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",2.51
59170131,"1545 Burton Ave, Victoria, BC V8T 2N3",Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",2.8
59170131,"2930 Gosworth Rd, Victoria, BC V8T 3C7",Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",2.64
59170132,"1444 Edgeware Rd, Victoria, BC V8T 2J5",Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.47
59170132,"2933 Cedar Hill Rd, Victoria, BC V8T 3H8",Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.36
59170133,"1360 Hillside Ave, Victoria, BC V8T 2B5",Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.23
59170133,"1443 Westall Ave, Victoria, BC V8T 2G4",Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.77
59170134,"2750 Mt. Stephen Ave, Victoria, BC V8T 2B3",Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.04
59170135,"1251 Acton St, Victoria, BC V8T 1Y1",Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.07
59170135,"2737 Avebury Ave, Victoria, BC V8R 3W5",Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.17
