DAUID,min_distance_doctors,avg_distance_doctors,count_doctors_within_500m,Residential_TotalGross_Average,min_distance_downtown,avg_distance_downtown,count_downtown_within_500m,min_distance_entertainment,avg_distance_entertainment,count_entertainment_within_500m,min_distance_golf,avg_distance_golf,count_golf_within_500m,min_distance_grocery,avg_distance_grocery,count_grocery_within_500m,min_distance_hospital,avg_distance_hospital,count_hospital_within_500m,min_distance_parks,avg_distance_parks,count_parks_within_500m,min_distance_school,avg_distance_school,count_school_within_500m,min_distance_shopping,avg_distance_shopping,count_shopping_within_500m,min_distance_university,avg_distance_university,count_university_within_500m,min_distance_waterfront,avg_distance_waterfront,count_waterfront_within_500m
59170126,1.04,1.04,0,1020641,1.88,1.88,0,1.12,1.125,0,1.23,1.23,0,0.85,0.85,0,1.54,1.54,0,0.15,0.308,5,0.15,0.15,1,0.52,0.52,0,0.81,0.81,0,1.44,1.44,0
59170127,0.77,0.77,0,1120755,1.6,1.6,0,0.87,0.87,0,1.23,1.23,0,0.58,0.58,0,1.4,1.4,0,0.26,0.32,5,0.36,0.375,2,0.5,0.56,1,1.01,1.01,0,1.2,1.35,0
59170128,0.95,0.95,0,1134602,1.85,1.85,0,1.06,1.0750000000000002,0,0.66,0.66,0,0.83,0.83,0,0.94,0.94,1,0.31,0.31,1,0.35,0.445,1,0.89,0.9850000000000001,0,1.42,1.42,0,1.99,1.99,0
59170129,1.12,1.12,0,1023107,2.04,2.04,0,1.32,1.32,0,0.59,0.59,0,1.0,1.0,0,1.05,1.05,0,0.38,0.38,1,0.59,0.59,0,1.16,1.16,0,1.39,1.39,0,2.08,2.08,0
59170130,0.9,0.9,0,1315858,2.09,2.09,0,0.97,0.97,0,0.2,0.2,1,1.17,1.17,0,0.65,0.65,1,0.34,0.34,1,0.65,0.65,0,0.84,0.84,0,1.87,1.87,0,2.45,2.45,0
59170131,0.57,0.57,0,985706,2.15,2.15,0,0.66,0.66,0,0.36,0.36,1,1.34,1.34,0,0.42,0.42,1,0.15,0.15,1,0.61,0.635,0,0.51,0.51,0,2.22,2.22,0,2.72,2.72,0
59170132,0.83,0.83,0,874713,1.81,1.81,0,0.6,0.6,0,0.58,0.58,0,1.06,1.06,0,0.24,0.24,1,0.39,0.4166666666666667,3,0.34,0.34,1,0.77,0.77,0,2.12,2.12,0,2.42,2.42,0
59170133,0.44,0.58,3,1087757,1.84,1.84,0,0.48,0.48,1,0.72,0.72,0,0.92,1.055,0,0.28,0.28,1,0.21,0.298,5,0.23,0.34,3,0.66,0.66,0,1.99,2.19,0,2.5,2.5,0
59170134,0.74,0.74,0,952586,1.41,1.41,0,0.72,0.72,0,0.98,0.98,0,0.76,0.76,0,0.45,0.45,1,0.13,0.1725,4,0.19,0.21000000000000002,2,1.11,1.11,0,1.79,1.79,0,2.04,2.04,0
59170135,0.85,0.95,0,1095008,1.29,1.29,0,0.66,0.66,0,1.29,1.29,0,0.55,0.7,0,0.61,0.61,1,0.09,0.20833333333333334,6,0.28,0.40666666666666673,2,1.19,1.19,0,1.75,1.75,0,2.12,2.12,0
59170136,0.85,0.865,0,1048311,1.14,1.14,0,0.73,0.7749999999999999,0,1.35,1.35,0,0.67,0.67,0,0.7,0.7,1,0.24,0.33599999999999997,5,0.36,0.38,2,1.24,1.24,0,1.56,1.56,0,1.92,1.92,0
59170137,1.03,1.05,0,1051014,1.24,1.24,0,0.64,0.64,0,1.4,1.4,0,0.53,0.635,0,0.68,0.68,1,0.25,0.2875,4,0.49,0.505,1,1.22,1.22,0,1.73,1.73,0,2.15,2.15,0
59170138,0.96,1.01,0,1061502,1.42,1.42,0,0.55,0.55,0,1.46,1.46,0,0.41,0.41,1,0.73,0.73,1,0.31,0.37333333333333335,3,0.37,0.375,2,1.13,1.13,0,1.77,1.77,0,2.41,2.41,0
