DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",1.04,1020641
59170127,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.77,1120755
59170128,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.95,1134602
59170129,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",1.12,1023107
59170130,WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.9,1315858
59170131,WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.57,985706
59170132,WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.83,874713
59170133,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.89,1087757
59170133,WELL Health Medical Centres - Hillside (Formerly Jack Nathan Hillside Medical),"1644 Hillside Ave, Victoria, BC V8T 2C5",0.44,1087757
59170133,Victoria Oceanside Health,"3066 Shelbourne St #235, Victoria, BC V8R 6T9",0.49,1087757
59170133,Oaklands Health Clinic,"325-3066 Shelbourne St, Victoria, BC V8R 6T9",0.5,1087757
59170134,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.74,952586
59170135,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.85,1095008
59170135,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",1.05,1095008
59170136,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.88,1048311
59170136,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.85,1048311
59170137,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",1.03,1051014
59170137,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",1.07,1051014
59170138,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",1.06,1061502
59170138,Victoria Oceanside Health,"3066 Shelbourne St #235, Victoria, BC V8R 6T9",0.96,1061502
59170139,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.92,1013725
59170140,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.68,1056933
59170140,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.7,1056933
59170141,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.69,1269532
59170142,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.55,1050680
59170143,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.29,1163091
59170143,Yarrow Medical,"645 Fort St #104, Victoria, BC V8W 1G2",0.78,1163091
59170144,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.33,901691
59170145,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.57,1070096
59170146,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.32,992863
59170147,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.38,1114659
59170148,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.44,751104
59170149,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.42,8913936
59170150,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.64,762385
59170151,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.18,729644
59170152,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.41,775374
59170153,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.11,878368
59170154,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.42,1113701
59170155,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.37,938330
59170156,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.67,948668
59170157,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.67,955186
59170161,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.07,664723
59170162,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.23,740379
59170162,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.44,740379
59170163,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.41,784258
59170164,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.2,572359
59170164,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.41,572359
59170165,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.13,1139310
59170166,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.14,836456
59170166,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.36,836456
59170167,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.13,1482694
59170167,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.32,1482694
59170168,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.21,1337071
59170168,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.34,1337071
59170169,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.41,1571427
59170169,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.45,1571427
59170170,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.3,775090
59170170,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.45,775090
59170171,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.62,1738272
59170172,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.64,975298
59170174,Fernwood Maternity Medical Center,"1711 Cook St #301, Victoria, BC V8T 3P2",0.67,1179242
