DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,downtown,NA,1.88,1020641
59170127,downtown,NA,1.6,1120755
59170128,downtown,NA,1.85,1134602
59170129,downtown,NA,2.04,1023107
59170130,downtown,NA,2.09,1315858
59170131,downtown,NA,2.15,985706
59170132,downtown,NA,1.81,874713
59170133,downtown,NA,1.84,1087757
59170134,downtown,NA,1.41,952586
59170135,downtown,NA,1.29,1095008
59170136,downtown,NA,1.14,1048311
59170137,downtown,NA,1.24,1051014
59170138,downtown,NA,1.42,1061502
59170139,downtown,NA,1.09,1013725
59170140,downtown,NA,1.16,1056933
59170141,downtown,NA,0.84,1269532
59170142,downtown,NA,0.72,1050680
59170143,downtown,NA,0.37,1163091
59170144,downtown,NA,0.47,901691
59170145,downtown,NA,0.63,1070096
59170146,downtown,NA,0.76,992863
59170147,downtown,NA,0.59,1114659
59170148,downtown,NA,0.5,751104
59170149,downtown,NA,0.58,8913936
59170150,downtown,NA,0.43,762385
59170151,downtown,NA,1.04,729644
59170152,downtown,NA,1.31,775374
59170153,downtown,NA,0.96,878368
59170154,downtown,NA,1.34,1113701
59170155,downtown,NA,1.1,938330
59170156,downtown,NA,1.52,948668
59170157,downtown,NA,0.99,955186
59170161,downtown,NA,0.89,664723
59170162,downtown,NA,0.4,740379
59170163,downtown,NA,0.37,784258
59170164,downtown,NA,0.35,572359
59170165,downtown,NA,0.29,1139310
59170166,downtown,NA,0.31,836456
59170167,downtown,NA,0.16,1482694
59170168,downtown,NA,0.29,1337071
59170169,downtown,NA,0.45,1571427
59170170,downtown,NA,0.33,775090
59170171,downtown,NA,0.69,1738272
59170172,downtown,NA,0.87,975298
59170174,downtown,NA,0.82,1179242
59170175,downtown,NA,1.14,1259333
59170177,downtown,NA,1.47,802456
59170178,downtown,NA,1.67,1077058
59170179,downtown,NA,1.56,912374
59170180,downtown,NA,1.94,1444451
59170181,downtown,NA,2.13,1034612
59170197,downtown,NA,2.09,1344632
59170198,downtown,NA,1.98,1186784
59170199,downtown,NA,1.54,1330660
59170200,downtown,NA,1.89,1457357
59170201,downtown,NA,1.48,1862585
59170202,downtown,NA,1.69,1550804
59170203,downtown,NA,1.91,1300673
59170204,downtown,NA,2.15,1727751
59170224,downtown,NA,2.01,732699
59170225,downtown,NA,2.14,1138123
59170226,downtown,NA,1.75,1003121
59170227,downtown,NA,2.07,774338
59170228,downtown,NA,1.79,1077533
59170229,downtown,NA,2.45,1313463
59170272,downtown,NA,2.11,1531335
59170273,downtown,NA,1.32,1390356
59170274,downtown,NA,1.23,1354646
59170275,downtown,NA,0.97,2250456
59170276,downtown,NA,0.59,1296327
59170277,downtown,NA,0.69,1603164
59170278,downtown,NA,0.42,984172
59170279,downtown,NA,0.13,1357393
59170280,downtown,NA,0.36,1365597
59170281,downtown,NA,0.27,769011
59170282,downtown,NA,0.36,1685793
59170285,downtown,NA,0.45,920651
59170286,downtown,NA,0.38,1063124
59170287,downtown,NA,0.63,713505
59170288,downtown,NA,0.8,1054632
59170289,downtown,NA,0.53,1115378
59170290,downtown,NA,0.61,1198557
59170291,downtown,NA,1.06,1402114
59170292,downtown,NA,1.01,1494601
59170293,downtown,NA,1.19,1553438
59170294,downtown,NA,1.48,1514264
59170295,downtown,NA,0.48,1616849
59170296,downtown,NA,0.5,1172227
59170297,downtown,NA,0.42,826680
59170298,downtown,NA,0.38,980853
59170299,downtown,NA,0.4,2272240
59170300,downtown,NA,0.75,1261434
59170301,downtown,NA,0.96,1612156
59170302,downtown,NA,0.5,1842992
59170303,downtown,NA,1.02,1486477
59170304,downtown,NA,0.81,11899778
59170305,downtown,NA,0.84,1650632
59170308,downtown,NA,0.5,1959497
59170309,downtown,NA,0.77,1559418
59170310,downtown,NA,0.91,1021826
59170311,downtown,NA,0.59,1190110
59170312,downtown,NA,1.17,1035481
59170313,downtown,NA,1.09,1653677
59170371,downtown,NA,1.65,1029176
59170372,downtown,NA,1.62,984319
59170373,downtown,NA,1.37,965773
59170375,downtown,NA,1.08,994132
59170376,downtown,NA,1.32,1032131
59170378,downtown,NA,1.45,1765680
59170383,downtown,NA,0.87,1008114
59170384,downtown,NA,1.18,667343
59170385,downtown,NA,1.48,1429892
59170386,downtown,NA,1.51,1708097
59170387,downtown,NA,1.64,669043
59170388,downtown,NA,1.9,904377
59170389,downtown,NA,1.95,1037755
59170390,downtown,NA,1.88,1346304
59170554,downtown,NA,1.03,1526738
59170555,downtown,NA,0.86,1592567
59170556,downtown,NA,0.94,1638956
59170557,downtown,NA,1.02,1757910
59170558,downtown,NA,1.3,1734242
59170598,downtown,NA,1.84,970445
59170600,downtown,NA,1.71,824751
59170601,downtown,NA,1.44,973857
59170610,downtown,NA,0.67,1773627
59170611,downtown,NA,0.33,878987
59170612,downtown,NA,1.18,1408020
59170722,downtown,NA,1.23,1046000
59170723,downtown,NA,0.92,950552
59170805,downtown,NA,0.26,619204
59170806,downtown,NA,0.24,804136
59170807,downtown,NA,0.31,1302777
59170808,downtown,NA,0.38,971891
59170809,downtown,NA,0.37,692965
59170810,downtown,NA,0.2,432522
59170811,downtown,NA,0.36,1265739
59170814,downtown,NA,0.37,891064
59170815,downtown,NA,0.3,779350
59170816,downtown,NA,1.52,1287572
59170817,downtown,NA,0.9,680343
59170819,downtown,NA,0.66,1005417
59170820,downtown,NA,1.29,902809
