DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",1.12,1020641
59170126,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",1.13,1020641
59170127,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.87,1120755
59170128,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",1.06,1134602
59170128,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",1.09,1134602
59170129,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",1.32,1023107
59170130,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.97,1315858
59170131,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.66,985706
59170132,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.6,874713
59170133,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.48,1087757
59170134,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.72,952586
59170135,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.66,1095008
59170136,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.82,1048311
59170136,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.73,1048311
59170137,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.64,1051014
59170138,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.55,1061502
59170139,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.94,1013725
59170140,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.99,1056933
59170140,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.89,1056933
59170141,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.75,1269532
59170142,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.56,1050680
59170143,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.56,1163091
59170143,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.76,1163091
59170143,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.24,1163091
59170143,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.25,1163091
59170143,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.29,1163091
59170143,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.46,1163091
59170144,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.29,901691
59170144,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.43,901691
59170144,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.35,901691
59170144,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.46,901691
59170144,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.49,901691
59170145,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.2,1070096
59170146,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.36,992863
59170146,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.37,992863
59170146,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.39,992863
59170148,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.17,751104
59170148,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.34,751104
59170148,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.24,751104
59170148,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.4,751104
59170149,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.27,8913936
59170149,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.3,8913936
59170149,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.26,8913936
59170149,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.27,8913936
59170149,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.48,8913936
59170150,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.33,762385
59170150,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.41,762385
59170150,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.42,762385
59170151,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.3,729644
59170151,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.38,729644
59170152,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.58,775374
59170152,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.46,775374
59170153,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.33,878368
59170153,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.39,878368
59170154,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.62,1113701
59170155,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.57,938330
59170156,Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",0.77,948668
59170156,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.89,948668
59170157,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.6,955186
59170162,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.3,740379
59170162,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.4,740379
59170162,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.43,740379
59170162,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.29,740379
59170162,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.37,740379
59170162,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.46,740379
59170162,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.49,740379
59170163,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.11,784258
59170163,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.27,784258
59170163,Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.28,784258
59170163,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.32,784258
59170163,Cineplex Odeon Victoria Cinemas,"780 Yates St, Victoria, BC V8W 1L4",0.35,784258
59170163,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.37,784258
59170163,The Coda,"751 View St, Victoria, BC V8W 1J9",0.38,784258
59170163,Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.44,784258
59170163,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.44,784258
59170163,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.5,784258
59170164,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.28,572359
59170164,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.36,572359
59170164,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.41,572359
59170164,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.43,572359
59170164,Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.48,572359
59170164,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.49,572359
59170165,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.1,1139310
59170165,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.39,1139310
59170165,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.48,1139310
59170167,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.49,1482694
59170168,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.38,1337071
59170168,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.5,1337071
59170169,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.6,1571427
59170169,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.61,1571427
59170170,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.29,775090
59170170,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.43,775090
59170170,Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",0.02,775090
59170170,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.19,775090
59170170,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.25,775090
59170170,Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.27,775090
59170170,Cineplex Odeon Victoria Cinemas,"780 Yates St, Victoria, BC V8W 1L4",0.31,775090
59170170,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.36,775090
59170170,The Coda,"751 View St, Victoria, BC V8W 1J9",0.37,775090
59170170,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.41,775090
59170170,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.42,775090
59170170,Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.47,775090
59170171,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.4,1738272
59170171,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.47,1738272
59170172,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.42,975298
59170174,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.71,1179242
59170175,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.95,1259333
59170175,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",1.02,1259333
59170177,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.9,802456
59170178,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.8,1077058
59170179,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.85,912374
59170180,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.52,1444451
59170181,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.38,1034612
59170197,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",1.0,1344632
59170198,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.73,1186784
59170199,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.77,1330660
59170200,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",1.06,1457357
59170201,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.66,1862585
59170202,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.96,1550804
59170203,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",1.25,1300673
59170204,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",1.38,1727751
59170224,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.67,732699
59170225,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.34,1138123
59170226,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.46,1003121
59170227,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.27,774338
59170228,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.2,1077533
59170229,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.69,1313463
59170272,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",1.54,1531335
59170273,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.66,1390356
59170273,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",1.02,1390356
59170274,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.79,1354646
59170274,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.72,1354646
59170275,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.32,2250456
59170275,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.4,2250456
59170275,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.49,2250456
59170276,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.18,1296327
59170276,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.29,1296327
59170276,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.43,1296327
59170277,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.21,1603164
59170277,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.3,1603164
59170277,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.25,1603164
59170277,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.44,1603164
59170278,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.09,984172
59170278,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.21,984172
59170278,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.26,984172
59170278,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.43,984172
59170279,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.14,1357393
59170279,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.34,1357393
59170279,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.38,1357393
59170280,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.44,1365597
59170280,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.46,1365597
59170280,Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",0.27,1365597
59170280,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.34,1365597
59170280,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.44,1365597
59170281,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.35,769011
59170281,Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",0.37,769011
59170281,Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.47,769011
