DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.23,1020641
59170127,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.23,1120755
59170128,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.66,1134602
59170129,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.59,1023107
59170130,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.2,1315858
59170131,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.36,985706
59170132,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.58,874713
59170133,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.72,1087757
59170134,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.98,952586
59170135,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.29,1095008
59170136,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.35,1048311
59170137,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.4,1051014
59170138,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.46,1061502
59170139,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.8,1013725
59170140,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.01,1056933
59170141,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.67,1269532
59170142,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.73,1050680
59170143,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.13,1163091
59170144,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.01,901691
59170145,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.73,1070096
59170146,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.53,992863
59170147,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.69,1114659
59170148,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.83,751104
59170149,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.79,8913936
59170150,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.04,762385
59170151,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.37,729644
59170152,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.18,775374
59170153,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.33,878368
59170154,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.03,1113701
59170155,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.19,938330
59170156,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",0.76,948668
59170157,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.43,955186
59170161,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",1.46,664723
59170162,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.17,740379
59170163,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.68,784258
59170164,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.65,572359
59170165,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.74,1139310
59170166,Cedar Hill Golf Course,"1400 Derby Rd, Saanich Core, BC V8P 1T1",2.56,836456
