DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.85,1020641
59170127,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.58,1120755
59170128,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.83,1134602
59170129,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.0,1023107
59170130,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.17,1315858
59170131,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.34,985706
59170132,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",1.06,874713
59170133,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.92,1087757
59170133,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",1.19,1087757
59170134,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.76,952586
59170135,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.85,1095008
59170135,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.55,1095008
59170136,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.67,1048311
59170137,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.53,1051014
59170137,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.74,1051014
59170138,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.41,1061502
59170139,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.35,1013725
59170139,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.45,1013725
59170140,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.17,1056933
59170140,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.09,1056933
59170141,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.39,1269532
59170142,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.47,1050680
59170143,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.58,1163091
59170143,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.37,1163091
59170144,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.27,901691
59170144,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.63,901691
59170145,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.48,1070096
59170146,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.23,992863
59170146,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.48,992863
59170147,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.27,1114659
59170147,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.49,1114659
59170148,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.35,751104
59170148,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.41,751104
59170148,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.49,751104
59170149,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.38,8913936
59170149,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.12,8913936
59170149,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.24,8913936
59170150,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.57,762385
59170151,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.02,729644
59170151,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.11,729644
59170151,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.28,729644
59170152,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.3,775374
59170152,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.23,775374
59170152,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.27,775374
59170153,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.15,878368
59170153,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.27,878368
59170153,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.29,878368
59170154,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.33,1113701
59170154,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.45,1113701
59170155,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.38,938330
59170155,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.49,938330
59170156,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.66,948668
59170157,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.65,955186
59170157,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.55,955186
59170161,Fairway Market Quadra Village,"2635 Quadra St, Victoria, BC V8T 4E3",0.12,664723
59170161,Damascus Food Market,"942 Hillside Ave, Victoria, BC V8T 2A1",0.13,664723
59170161,Daily Fresh Super Market,"1627 Quadra St, Victoria, BC V8W 2L5",0.19,664723
59170162,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.3,740379
59170163,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.25,784258
59170164,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.22,572359
59170165,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.47,1139310
59170166,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.38,836456
59170167,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.31,1482694
59170168,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.41,1337071
59170169,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.37,1571427
59170170,Save-On-Foods,"1010 Pandora Ave, Victoria, BC V8V 3P5",0.41,775090
59170171,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.54,1738272
59170172,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.39,975298
59170172,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.48,975298
59170174,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.3,1179242
59170174,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.41,1179242
59170174,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.44,1179242
59170175,Fernwood General Store,"1308 Gladstone Ave, Victoria, BC V8R 1S1",0.38,1259333
59170175,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.35,1259333
59170175,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.39,1259333
59170175,Bay Grocery,"1618 Bay St, Victoria, BC V8R 2B7",0.41,1259333
59170177,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.15,802456
59170177,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.24,802456
59170178,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.35,1077058
59170178,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.44,1077058
59170179,Urban Grocer,"1625 Fort St, Victoria, BC V8R 1H9",0.36,912374
59170179,Red Barn Market,"1933 Oak Bay Ave, Victoria, BC V8R 1C8",0.44,912374
59170180,Save-On-Foods,"1950 Foul Bay Rd, Victoria, BC V8R 5A7",0.34,1444451
