DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.54,1020641
59170127,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.4,1120755
59170128,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.94,1134602
59170129,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.05,1023107
59170130,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.65,1315858
59170131,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.42,985706
59170132,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.24,874713
59170133,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.28,1087757
59170134,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.45,952586
59170135,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.61,1095008
59170136,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.7,1048311
59170137,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.68,1051014
59170138,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.73,1061502
59170139,Royal Jubilee Hospital,"1952 Bay St, Victoria, BC V8R 1J8",0.99,1013725
59170140,Royal Jubilee Hospital,"1952 Bay St, Victoria, BC V8R 1J8",0.84,1056933
59170141,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.0,1269532
59170142,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.11,1050680
59170143,Mount St. Mary Hospital,"861 Fairfield Rd, Victoria, BC V8V 5A9",1.45,1163091
59170143,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.34,1163091
59170144,Mount St. Mary Hospital,"861 Fairfield Rd, Victoria, BC V8V 5A9",1.31,901691
59170144,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.29,901691
59170145,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.23,1070096
59170146,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.12,992863
59170148,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.49,751104
59170149,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.5,8913936
59170150,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.74,762385
59170151,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.22,729644
59170152,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.15,775374
59170153,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",1.05,878368
59170154,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.97,1113701
59170155,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.81,938330
59170156,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.6,948668
59170157,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.86,955186
59170162,Mount St. Mary Hospital,"861 Fairfield Rd, Victoria, BC V8V 5A9",1.33,740379
59170163,Mount St. Mary Hospital,"861 Fairfield Rd, Victoria, BC V8V 5A9",0.86,784258
59170164,Mount St. Mary Hospital,"861 Fairfield Rd, Victoria, BC V8V 5A9",0.83,572359
