DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",1.04,1020641
59170127,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.77,1120755
59170128,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.62,1134602
59170129,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.66,1023107
59170130,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.22,1315858
59170131,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.2,985706
59170131,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.42,985706
59170131,"WELL Health Medical Centres -
 Hillside (Formerly Jack Nathan Hillside Medical)
","1644 Hillside Ave, Victoria, BC V8T 2C5",0.49,985706
59170132,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.24,874713
59170132,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.27,874713
59170133,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.28,1087757
59170133,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.47,1087757
59170133,"WELL Health Medical Centres -
 Hillside (Formerly Jack Nathan Hillside Medical)
","1644 Hillside Ave, Victoria, BC V8T 2C5",0.44,1087757
59170134,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.45,952586
59170135,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.44,1095008
59170135,Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1",0.74,1095008
59170136,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.7,1048311
59170137,Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1",0.77,1051014
59170137,Aberdeen Hospital,"1450 Hillside Ave, Victoria, BC V8T 2B7",0.57,1051014
59170138,Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1",0.53,1061502
59170139,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.89,1013725
59170139,Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1",0.77,1013725
59170140,Hillside Veterinary Hospital,"1700 Kings Rd, Victoria, BC V8R 2P1",0.63,1056933
59170140,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.87,1056933
59170141,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.98,1269532
59170141,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.91,1269532
59170142,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.8,1050680
59170142,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.88,1050680
59170143,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.61,1163091
59170143,My Victoria Dentist,"1070 Douglas St, Victoria, BC V8W 2C4",0.75,1163091
59170144,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.53,901691
59170144,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.72,901691
59170145,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.57,1070096
59170146,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.32,992863
59170148,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.44,751104
59170149,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.42,8913936
59170150,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.64,762385
59170151,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.18,729644
59170152,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.41,775374
59170153,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.11,878368
59170154,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.42,1113701
59170155,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.37,938330
59170156,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.54,948668
59170156,Oaklands Veterinary Hospital,"3115 Cedar Hill Rd, Victoria, BC V8T 3J4",0.39,948668
59170157,Quadra Village Medical Clinic,"2631 Quadra St, Victoria, BC V8T 4E3",0.67,955186
59170162,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.56,740379
59170163,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.41,784258
59170164,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.2,572359
59170165,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.13,1139310
59170167,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.32,1482694
59170168,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.22,1337071
59170169,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.49,1571427
59170170,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.3,775090
59170171,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.62,1738272
59170172,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.64,975298
59170174,Victoria Professional Building,"1120 Yates St, Victoria, BC V8V 3M9",0.73,1179242
59170174,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.62,1179242
59170175,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.65,1259333
59170177,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.1,802456
59170177,Avenue Family Dental ,"1831 Oak Bay Ave, Victoria, BC V8R 1C3",0.37,802456
59170178,Avenue Family Dental ,"1831 Oak Bay Ave, Victoria, BC V8R 1C3",0.21,1077058
59170178,Care2Talk Health | Private Primary Care Clinic (Victoria),"1918 Oak Bay Ave, Victoria, BC V8R 0B1",0.21,1077058
