DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.34,1020641
59170126,Quadra Heights Playground,"825 Villance St, Victoria, BC V8X 2P5",0.15,1020641
59170126,Topaz Park,"Topaz Ave & Finlayson Street & Blanshard Street, Victoria, BC",0.47,1020641
59170127,Topaz Park,"Topaz Ave & Finlayson Street & Blanshard Street, Victoria, BC",0.3,1120755
59170127,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.26,1120755
59170127,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.33,1120755
59170127,Quadra Heights Playground,"825 Villance St, Victoria, BC V8X 2P5",0.35,1120755
59170127,Jackalope Meadow,"1245 Summit Ave, Victoria, BC V8T 2P9",0.45,1120755
59170127,Summit Park,"1245 Summit Ave, Victoria, BC V8T 2P9",0.45,1120755
59170128,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.07,1134602
59170128,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.46,1134602
59170128,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.16,1134602
59170129,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.3,1023107
59170129,Jackson Park,"3173 Jackson St, Victoria, BC V8X 1E2",0.38,1023107
59170130,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.18,1315858
59170130,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.34,1315858
59170131,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.15,985706
59170131,Blackwood Park,"2550 Cook St, Victoria, BC V8T 3R8",0.47,985706
59170132,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.43,874713
59170132,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.43,874713
59170132,Oaklands (Holly) Green,"1515 Holly St, Victoria, BC V8R 2Y5",0.5,874713
59170133,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.24,1087757
59170133,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.33,1087757
59170133,Oaklands (Holly) Green,"1515 Holly St, Victoria, BC V8R 2Y5",0.33,1087757
59170133,Clawthorpe Park,"1619 Clawthorpe Ave, Victoria, BC V8T 2R8",0.38,1087757
59170134,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.16,952586
59170134,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.24,952586
59170134,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.5,952586
59170135,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.09,1095008
59170135,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.14,1095008
59170135,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.45,1095008
59170135,David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.49,1095008
59170136,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.22,1048311
59170136,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.24,1048311
59170136,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.38,1048311
59170137,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.43,1051014
59170137,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.28,1051014
59170137,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.31,1051014
59170138,David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.31,1061502
59170138,Oswald Park,"3031 Cedar Hill Rd, Victoria, BC V8T 3J2",0.45,1061502
59170138,Oaklands (Holly) Green,"1515 Holly St, Victoria, BC V8R 2Y5",0.45,1061502
59170139,David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.31,1013725
59170140,David Spencer Park,"2760 Victor St, Victoria, BC V8R 4E4",0.2,1056933
59170140,Fern Street Park,"1815 Fern St, Victoria, BC V8R 1L4",0.4,1056933
59170140,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.48,1056933
59170140,Stadacona Park,"1490 Pandora Ave, Victoria, BC V8R 6P9",0.5,1056933
59170141,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.24,1269532
59170141,Tennis Courts,"1500 Kings Rd, Victoria, BC V8R 4G8",0.48,1269532
59170142,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.28,1050680
59170142,Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.43,1050680
59170142,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.48,1050680
59170142,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.46,1050680
59170143,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.21,1163091
59170143,Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.36,1163091
59170143,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.41,1163091
59170143,Richmond Avenue Grass Triangle,"Victoria, BC V8S 3X9",0.32,1163091
59170143,Lime Bay Park,"Victoria, BC V9A 6T5",0.32,1163091
59170143,Mary Street Park,"Victoria, BC V9A 3X1",0.32,1163091
59170143,Dundas Green,"Victoria, BC V9A 3J9",0.32,1163091
59170143,Centennial Square,"1 Centennial Square, Victoria, BC V8W 1P5",0.32,1163091
59170143,Cecelia Cove Park,"Victoria, BC V8T 5K7",0.32,1163091
59170143,Hillside Park,"Victoria, BC V8T 3S2",0.32,1163091
59170143,Alexander Park,"Victoria, BC V8R 1Y5",0.32,1163091
59170143,Stevenson Memorial Park,"Victoria, BC V8T 1J6",0.32,1163091
59170143,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.46,1163091
59170144,Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.18,901691
59170144,Harris Green Park,"1500 Cook St #1502, Victoria, BC V8V 3P9",0.33,901691
59170144,Haegert Park,"1202 Yukon St, Victoria, BC V8T 1B6",0.39,901691
59170144,Franklin Green,"1045 Mason St, Victoria, BC V8V 3P5",0.43,901691
59170144,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.35,901691
59170144,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.46,901691
59170145,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.2,1070096
59170145,Royal Athletic Park,"1014 Caledonia Ave, Victoria, BC V8T 1E8",0.36,1070096
59170145,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.43,1070096
59170145,Wesley Park Playground,"2520 Wesley Pl, Victoria, BC V8T 1V1",0.46,1070096
59170146,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.29,992863
59170146,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.35,992863
59170146,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.36,992863
59170148,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.13,751104
59170148,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.34,751104
59170148,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.39,751104
59170149,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.28,8913936
59170149,Central Park,"2275 Quadra St, Victoria, BC V8T 4C4",0.3,8913936
59170149,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.16,8913936
59170150,Wark Street Park,"Wark St, Victoria, BC V8T 1W7",0.35,762385
59170151,Pioneer Square,"975 Quadra St, Victoria, BC V8W 2K5",0.16,729644
59170151,SJ Willis Field,"923 Topaz Ave, Victoria, BC V8T 2M2",0.36,729644
