DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.15,1020641
59170127,Sj Willis High School,"2970 Glasgow St, Victoria, BC V8T 5B9",0.36,1120755
59170127,Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.39,1120755
59170128,Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.35,1134602
59170128,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.54,1134602
59170129,Cloverdale Traditional Elementary School,"3427 Quadra St, Victoria, BC V8X 1G8",0.59,1023107
59170130,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.65,1315858
59170131,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.66,985706
59170131,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.61,985706
59170132,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.34,874713
59170133,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.23,1087757
59170133,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.38,1087757
59170133,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.41,1087757
59170134,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.19,952586
59170134,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.23,952586
59170135,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.28,1095008
59170135,Oak and Orca Bioregional School,"2738 Higgins St, Victoria, BC V8T 3N1",0.39,1095008
59170135,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.55,1095008
59170136,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.36,1048311
59170136,Vancouver Island School of Innovation and Inquiry,"1307 Hillside Ave, Victoria, BC V8T 0A2",0.4,1048311
59170137,George Jay Elementary,"1118 Princess Ave, Victoria, BC V8T 1L3",0.52,1051014
59170137,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.49,1051014
59170138,Victor School,"2260 Victor St, Victoria, BC V8R 4C5",0.38,1061502
59170138,Victoria School for Ideal Education,"2820 Belmont Ave, Victoria, BC V8R 4B1",0.37,1061502
59170139,Victoria High School,"1260 Grant St, Victoria, BC V8T 1C2",0.47,1013725
