DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.04,1020641
59170127,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.81,1120755
59170128,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.26,1134602
59170129,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.42,1023107
59170130,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.66,1315858
59170131,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.86,985706
59170132,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.57,874713
59170133,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.72,1087757
59170134,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.33,952586
59170135,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.62,1095008
59170136,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.46,1048311
59170137,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.71,1051014
59170138,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.99,1061502
59170139,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.81,1013725
59170140,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.88,1056933
59170141,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.53,1269532
59170141,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.43,1269532
59170142,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.27,1050680
59170142,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.39,1050680
59170143,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.07,1163091
59170144,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.86,901691
59170144,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.1,901691
59170145,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.97,1070096
59170146,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.8,992863
59170148,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.55,751104
59170149,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.51,8913936
59170150,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.5,762385
59170151,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.51,729644
59170152,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.73,775374
59170153,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.7,878368
59170154,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.83,1113701
59170155,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",0.96,938330
59170156,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.18,948668
59170157,Vancouver Island Institute of Medical Technology,"740 Hillside Ave Suite 301, Victoria, BC V8T 1Z4",1.22,955186
59170162,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.86,740379
59170163,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.36,784258
59170164,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.51,572359
59170165,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.73,1139310
59170167,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.88,1482694
59170168,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.89,1337071
59170169,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.15,1571427
59170170,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",0.73,775090
59170171,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.3,1738272
59170172,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.49,975298
59170174,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.52,1179242
59170175,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",1.85,1259333
59170177,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.12,802456
59170178,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.32,1077058
59170179,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.24,912374
59170180,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.6,1444451
59170181,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.79,1034612
59170197,West Coast College of Massage Therapy - Victoria,"818 Broughton St #100, Victoria, BC V8W 1E4",2.63,1344632
