DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",1.44,1020641
59170127,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.5,1120755
59170127,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",1.2,1120755
59170128,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.99,1134602
59170129,Arbutus Park,"2925 Washington Ave, Victoria, BC V9A 1L1",2.08,1023107
59170130,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",2.45,1315858
59170131,Cecelia Cove Park,"335 Waterfront Crescent, Victoria, BC V8T 0A6",2.72,985706
59170132,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.42,874713
59170133,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.5,1087757
59170134,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.04,952586
59170135,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.12,1095008
59170136,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.92,1048311
59170137,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.15,1051014
59170138,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.41,1061502
59170139,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",2.19,1013725
59170140,Gonzales Beach,"1845 Crescent Rd, Victoria, BC V8S 2G7",2.31,1056933
59170140,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.97,1056933
59170141,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.79,1269532
59170142,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.59,1050680
59170143,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.27,1163091
59170144,Goose Beach,"456 Pandora Ave, Victoria, BC V8W 0E3",1.21,901691
