@lat,@lon,addr:housenumber,addr:street,addr:postcode
51.1041359,-114.1884932,5720,Silver Springs Boulevard NW,T3B 4N7
51.0852510,-114.1242930,3630,Brentwood Road NW,T2L 1K8
51.0840329,-114.1252130,3630,Brentwood Road NW,T2L 1K8
51.0842870,-114.1256370,3630,Brentwood Road NW,T2L 1K8
51.1272018,-114.2064326,806,Crowfoot Crescent NW,T3G 4S3
51.1231779,-114.1976404,1829,Ranchlands Boulevard NW,T3G 2A7
51.1236231,-114.1980415,1829,Ranchlands Boulevard NW,T3G 2A7
51.1256392,-114.1975929,20,Crowfoot Crescent NW,T3G 2P6
51.1064546,-114.1619808,5005,Dalhousie Drive NW,T3A 5R8
51.1050357,-114.1605650,500 5005,Dalhousie Drive NW,T3A 5R8
51.1058475,-114.1636004,703 5005,Dalhousie Drive NW,T3A 5R8
51.0658026,-114.1029714,1632,14 Avenue NW,T2N 1M7
51.0671997,-114.1016904,1740,16 Avenue NW,T2M 0L7
51.1414761,-114.1302150,"400, 1000",Hamptons Drive NW,T3A 6A7
50.7957274,-114.2119483,282027,144 Street,T1S 0Y4
51.1112774,-114.0530693,53,Hunterhorn Road NE,T2K 6H9
51.1158258,-114.0693725,7020,4 Street NW,T2K 1C4
51.1270894,-114.0723930,8120,Beddington Boulevard NW,T3K 2A8
51.1272170,-114.0747754,8120,Beddington Boulevard NW,T3K 2A8
51.0987332,-114.0408668,5140,Skyline Way NE,T2E6V1
51.0806336,-113.9828700,3545,32 Avenue NE,T1Y 6M6
51.1120144,-114.0642364,6617,Centre Street N,T2K 4Y5
51.0963461,-114.0619607,5004,Centre Street N,T2K 0S8
51.0957105,-114.0628517,4823,Centre Street N,T2E 2Z6
51.0956653,-114.0619946,4828,Centre Street N,T2E 2Z7
51.1406324,-114.0686256,9650,Harvest Hills Boulevard N,T3K 0B3
51.1102584,-114.0616710,6460,Centre Street N,T2K 5C5
51.0461355,-114.0968810,909,15 Street SW,T3C 1E5
51.0397009,-114.1399521,1610,37 Street SW,T3C 3W0
51.0583252,-114.0144308,817,19 Street NE,T2E 4X0
51.1101191,-114.0620070,6450,Centre Street N,T2K 5C5
51.1110728,-114.0537810,594,Hunterhorn Road NE,T2K 6H9
51.0704990,-114.1170019,2126,Crowchild Trail NW,T2M 4L2
51.0707666,-114.1169948,2138,Crowchild Trail NW,T2M 4N5
51.1552300,-114.0577683,500,Country Hills Boulevard NE,T3K 5Y9
51.1481721,-114.0719978,177,Country Hills Boulevard NW,T3K 5M6
51.1614020,-114.0656597,500 -130,Country Village Road NE,T3K 6B8
51.1624286,-114.0640768,130,Country Village Road NE,T3K 6B8
51.1233580,-114.1983988,1829,Ranchlands Boulevard NW,T3G 2A7
51.0963905,-114.0628090,5003,Centre Street N,T2K 0S9
51.1549514,-114.0538321,500,Country Hills Boulevard NE,T3K 4Y7
51.1405086,-114.0703150,9650,Harvest Hills Boulevard N,T3K 0B3
51.1410067,-114.0700570,9650,Harvest Hills Boulevard N,T3K 0B3
51.1414773,-114.0695085,9650,Harvest Hills Boulevard N,T3K 0B3
51.0821343,-114.0042570,3322,23 Street NE,T2E 8Z5
51.1257013,-114.0734070,8118,Beddington Boulevard NW,T3K 2R6
51.0783221,-114.1318236,402,Collegiate Boulevard NW,T2N 1N4
51.1268412,-114.0556568,176,Bedford Drive NE,T3K 2M9
51.1268829,-114.0557580,"#7, 176",Bedford Drive NE,T3K 2M9
51.0435642,-114.0884987,1130,11 Avenue SW,T2R 0G4
51.1110898,-114.0558224,532,64 Avenue NE,T2K 6G9
51.1553480,-114.0568348,500,Country Hills Boulevard NE,T3K 5Y9
51.1549009,-114.0562020,500,Country Hills Boulevard NE,T3K 5H2
51.1406017,-114.0673245,9650,Harvest Hills Boulevard N,T3K 0B3
51.1268944,-114.0739835,8120,Beddington Boulevard NW,T3K 2A8
51.1113744,-114.0562747,6510,4 Street NE,T2K 6H2
51.1122438,-114.0563330,6732,4 Street NE,T2K 6G9
51.1122438,-114.0561618,6722,4 Street NE,T2K 6G9
51.1273448,-114.0748931,8120,Beddington Boulevard NW,T3K 3V0
51.1550056,-114.0537140,500,Country Hills Boulevard NW,T3K 4Y0
51.1119914,-114.0554179,6692,4 Street NE,T2K 6H1
51.1625582,-114.0650649,130,Country Village Road NE,T3K 6B8
51.1107025,-114.0783050,904,64 Avenue NW,T2K 0M5
51.0671020,-114.0905711,1320,16 Avenue NW,T2M 0L1
50.9920962,-114.0708990,6920,Macleod Trail SE,T2H 0L3
